[2022-09-06 18:30:58,778][PROCESS_MONITOR][INFO]tritonserver(195857), Memory: 1606 MiB, GPU Memory: 769 MiB
[2022-09-06 18:30:59,793][PROCESS_MONITOR][INFO]tritonserver(195857), Memory: 1606 MiB, GPU Memory: 769 MiB
[2022-09-06 18:31:00,809][PROCESS_MONITOR][INFO]tritonserver(195857), Memory: 1606 MiB, GPU Memory: 769 MiB
[2022-09-06 18:31:01,825][PROCESS_MONITOR][INFO]tritonserver(195857), Memory: 1606 MiB, GPU Memory: 769 MiB
[2022-09-06 18:31:02,841][PROCESS_MONITOR][INFO]tritonserver(195857), Memory: 1606 MiB, GPU Memory: 769 MiB
[2022-09-06 18:31:03,857][PROCESS_MONITOR][INFO]tritonserver(195857), Memory: 1606 MiB, GPU Memory: 769 MiB
[2022-09-06 18:31:04,874][PROCESS_MONITOR][INFO]tritonserver(195857), Memory: 1606 MiB, GPU Memory: 769 MiB
[2022-09-06 18:31:05,891][PROCESS_MONITOR][INFO]tritonserver(195857), Memory: 1606 MiB, GPU Memory: 769 MiB
[2022-09-06 18:31:06,909][PROCESS_MONITOR][INFO]tritonserver(195857), Memory: 1606 MiB, GPU Memory: 769 MiB
[2022-09-06 18:31:07,925][PROCESS_MONITOR][INFO]tritonserver(195857), Memory: 1606 MiB, GPU Memory: 769 MiB
[2022-09-06 18:31:08,938][PROCESS_MONITOR][INFO]tritonserver(195857), Memory: 1606 MiB, GPU Memory: 769 MiB
[2022-09-06 18:31:09,955][PROCESS_MONITOR][INFO]tritonserver(195857), Memory: 1606 MiB, GPU Memory: 769 MiB
[2022-09-06 18:31:10,971][PROCESS_MONITOR][INFO]tritonserver(195857), Memory: 1606 MiB, GPU Memory: 769 MiB
[2022-09-06 18:31:11,988][PROCESS_MONITOR][INFO]tritonserver(195857), Memory: 1606 MiB, GPU Memory: 769 MiB
[2022-09-06 18:31:13,003][PROCESS_MONITOR][INFO]tritonserver(195857), Memory: 1606 MiB, GPU Memory: 769 MiB
[2022-09-06 18:31:14,022][PROCESS_MONITOR][INFO]tritonserver(195857), Memory: 1676 MiB, GPU Memory: 769 MiB
[2022-09-06 18:31:15,036][PROCESS_MONITOR][INFO]tritonserver(195857), Memory: 3029 MiB, GPU Memory: 1255 MiB
[2022-09-06 18:31:16,052][PROCESS_MONITOR][INFO]tritonserver(195857), Memory: 3474 MiB, GPU Memory: 1541 MiB
[2022-09-06 18:31:17,066][PROCESS_MONITOR][INFO]tritonserver(195857), Memory: 3474 MiB, GPU Memory: 1541 MiB
[2022-09-06 18:31:18,082][PROCESS_MONITOR][INFO]tritonserver(195857), Memory: 3474 MiB, GPU Memory: 1541 MiB
[2022-09-06 18:31:19,101][PROCESS_MONITOR][INFO]tritonserver(195857), Memory: 3474 MiB, GPU Memory: 1541 MiB
[2022-09-06 18:31:20,117][PROCESS_MONITOR][INFO]tritonserver(195857), Memory: 3474 MiB, GPU Memory: 1541 MiB
[2022-09-06 18:31:21,131][PROCESS_MONITOR][INFO]tritonserver(195857), Memory: 3474 MiB, GPU Memory: 1541 MiB
[2022-09-06 18:31:22,146][PROCESS_MONITOR][INFO]tritonserver(195857), Memory: 3474 MiB, GPU Memory: 1541 MiB
[2022-09-06 18:31:23,162][PROCESS_MONITOR][INFO]tritonserver(195857), Memory: 3474 MiB, GPU Memory: 1541 MiB
[2022-09-06 18:31:24,178][PROCESS_MONITOR][INFO]tritonserver(195857), Memory: 3474 MiB, GPU Memory: 1541 MiB
[2022-09-06 18:31:25,194][PROCESS_MONITOR][INFO]tritonserver(195857), Memory: 3474 MiB, GPU Memory: 1541 MiB
[2022-09-06 18:31:26,209][PROCESS_MONITOR][INFO]tritonserver(195857), Memory: 3474 MiB, GPU Memory: 1541 MiB
[2022-09-06 18:31:27,225][PROCESS_MONITOR][INFO]tritonserver(195857), Memory: 3474 MiB, GPU Memory: 1541 MiB
[2022-09-06 18:31:28,241][PROCESS_MONITOR][INFO]tritonserver(195857), Memory: 3474 MiB, GPU Memory: 1541 MiB
[2022-09-06 18:31:29,257][PROCESS_MONITOR][INFO]tritonserver(195857), Memory: 3474 MiB, GPU Memory: 1541 MiB
