[2022-09-04 18:37:54,850][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 1743 MiB, GPU Memory: 959 MiB
[2022-09-04 18:37:55,867][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 1743 MiB, GPU Memory: 959 MiB
[2022-09-04 18:37:56,881][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 1743 MiB, GPU Memory: 959 MiB
[2022-09-04 18:37:57,898][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 1743 MiB, GPU Memory: 959 MiB
[2022-09-04 18:37:58,920][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 1743 MiB, GPU Memory: 959 MiB
[2022-09-04 18:37:59,933][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 1794 MiB, GPU Memory: 959 MiB
[2022-09-04 18:38:00,946][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3169 MiB, GPU Memory: 1437 MiB
[2022-09-04 18:38:01,960][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3609 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:02,975][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3609 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:03,991][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3609 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:05,007][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3609 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:06,023][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3609 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:07,039][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3609 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:08,054][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3609 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:09,069][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3609 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:10,084][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3609 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:11,100][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3609 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:12,116][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3609 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:13,132][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3609 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:14,148][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3609 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:15,163][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3609 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:16,179][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3609 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:17,195][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3609 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:18,211][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3609 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:19,228][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3609 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:20,243][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:21,259][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:22,275][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:23,290][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:24,306][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:25,323][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:26,339][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:27,355][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:28,371][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:29,386][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:30,401][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:31,417][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:32,432][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:33,448][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:34,465][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:35,481][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:36,497][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:37,513][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:38,530][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:39,545][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:40,561][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:41,577][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:42,602][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:43,616][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:44,632][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:45,646][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:46,662][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:47,678][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:48,693][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:49,708][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:50,724][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:51,739][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:52,754][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:53,769][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:54,785][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:55,801][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:56,817][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:57,833][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:58,849][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:38:59,865][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:00,881][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:01,897][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:02,913][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:03,929][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:04,944][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3619 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:05,959][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3695 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:06,974][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3700 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:07,990][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3706 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:09,005][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3712 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:10,020][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3717 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:11,035][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3717 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:12,051][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3717 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:13,066][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3717 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:14,079][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3717 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:15,095][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3717 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:16,110][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3717 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:17,126][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3717 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:18,140][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3717 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:19,155][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3717 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:20,171][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3717 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:21,185][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3717 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:22,200][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3717 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:23,215][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3717 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:24,230][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3717 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:25,246][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3717 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:26,260][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3717 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:27,276][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3717 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:28,291][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3717 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:29,307][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3717 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:30,322][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3717 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:31,337][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3717 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:32,352][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3717 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:33,366][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3717 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:34,380][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3717 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:35,396][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3717 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:36,411][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3717 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:37,426][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3717 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:38,441][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3717 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:39,456][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3717 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:40,472][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3717 MiB, GPU Memory: 1843 MiB
[2022-09-04 18:39:41,489][PROCESS_MONITOR][INFO]tritonserver(45871), Memory: 3717 MiB, GPU Memory: 1843 MiB
