[2022-09-06 15:25:26,732][PROCESS_MONITOR][INFO]tritonserver(138298), Memory: 1565 MiB, GPU Memory: 711 MiB
[2022-09-06 15:25:27,748][PROCESS_MONITOR][INFO]tritonserver(138298), Memory: 1565 MiB, GPU Memory: 711 MiB
[2022-09-06 15:25:28,764][PROCESS_MONITOR][INFO]tritonserver(138298), Memory: 1565 MiB, GPU Memory: 711 MiB
[2022-09-06 15:25:29,780][PROCESS_MONITOR][INFO]tritonserver(138298), Memory: 1565 MiB, GPU Memory: 711 MiB
[2022-09-06 15:25:30,797][PROCESS_MONITOR][INFO]tritonserver(138298), Memory: 1565 MiB, GPU Memory: 711 MiB
[2022-09-06 15:25:31,813][PROCESS_MONITOR][INFO]tritonserver(138298), Memory: 1565 MiB, GPU Memory: 711 MiB
[2022-09-06 15:25:32,829][PROCESS_MONITOR][INFO]tritonserver(138298), Memory: 1565 MiB, GPU Memory: 711 MiB
[2022-09-06 15:25:33,845][PROCESS_MONITOR][INFO]tritonserver(138298), Memory: 1565 MiB, GPU Memory: 711 MiB
[2022-09-06 15:25:34,861][PROCESS_MONITOR][INFO]tritonserver(138298), Memory: 1565 MiB, GPU Memory: 711 MiB
[2022-09-06 15:25:35,877][PROCESS_MONITOR][INFO]tritonserver(138298), Memory: 1565 MiB, GPU Memory: 711 MiB
[2022-09-06 15:25:36,893][PROCESS_MONITOR][INFO]tritonserver(138298), Memory: 1565 MiB, GPU Memory: 711 MiB
[2022-09-06 15:25:37,911][PROCESS_MONITOR][INFO]tritonserver(138298), Memory: 1565 MiB, GPU Memory: 711 MiB
[2022-09-06 15:25:38,928][PROCESS_MONITOR][INFO]tritonserver(138298), Memory: 1565 MiB, GPU Memory: 711 MiB
[2022-09-06 15:25:39,945][PROCESS_MONITOR][INFO]tritonserver(138298), Memory: 1565 MiB, GPU Memory: 711 MiB
[2022-09-06 15:25:40,961][PROCESS_MONITOR][INFO]tritonserver(138298), Memory: 1565 MiB, GPU Memory: 711 MiB
[2022-09-06 15:25:41,977][PROCESS_MONITOR][INFO]tritonserver(138298), Memory: 1565 MiB, GPU Memory: 711 MiB
