[2022-09-04 19:29:31,647][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 1568 MiB, GPU Memory: 711 MiB
[2022-09-04 19:29:32,663][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 1568 MiB, GPU Memory: 711 MiB
[2022-09-04 19:29:33,680][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 1568 MiB, GPU Memory: 711 MiB
[2022-09-04 19:29:34,695][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 1568 MiB, GPU Memory: 711 MiB
[2022-09-04 19:29:35,712][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 1568 MiB, GPU Memory: 711 MiB
[2022-09-04 19:29:36,729][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 1568 MiB, GPU Memory: 711 MiB
[2022-09-04 19:29:37,744][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 1568 MiB, GPU Memory: 711 MiB
[2022-09-04 19:29:38,760][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 1568 MiB, GPU Memory: 711 MiB
[2022-09-04 19:29:39,777][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 1568 MiB, GPU Memory: 711 MiB
[2022-09-04 19:29:40,793][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 1568 MiB, GPU Memory: 711 MiB
[2022-09-04 19:29:41,807][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 2025 MiB, GPU Memory: 875 MiB
[2022-09-04 19:29:42,822][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3365 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:29:43,838][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3365 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:29:44,852][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3365 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:29:45,865][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3366 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:29:46,879][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3366 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:29:47,893][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3366 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:29:48,908][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3366 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:29:49,923][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3440 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:29:50,937][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:29:51,952][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:29:52,968][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:29:53,983][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:29:54,999][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:29:56,013][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:29:57,027][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:29:58,043][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:29:59,057][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:00,072][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:01,087][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:02,102][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:03,116][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:04,132][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:05,147][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:06,163][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:07,178][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:08,194][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:09,207][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:10,223][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:11,239][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:12,254][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:13,269][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:14,284][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:15,299][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:16,314][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:17,329][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:18,344][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:19,358][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:20,373][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:21,388][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:22,403][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:23,419][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:24,434][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:25,449][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:26,464][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:27,480][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:28,496][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:29,512][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:30,527][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:31,543][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:32,558][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:33,574][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:34,589][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:35,604][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
[2022-09-04 19:30:36,619][PROCESS_MONITOR][INFO]tritonserver(63880), Memory: 3443 MiB, GPU Memory: 1481 MiB
