[2022-09-06 19:00:19,708][PROCESS_MONITOR][INFO]tritonserver(205294), Memory: 1674 MiB, GPU Memory: 927 MiB
[2022-09-06 19:00:20,726][PROCESS_MONITOR][INFO]tritonserver(205294), Memory: 1674 MiB, GPU Memory: 927 MiB
[2022-09-06 19:00:21,742][PROCESS_MONITOR][INFO]tritonserver(205294), Memory: 1674 MiB, GPU Memory: 927 MiB
[2022-09-06 19:00:22,757][PROCESS_MONITOR][INFO]tritonserver(205294), Memory: 1674 MiB, GPU Memory: 927 MiB
[2022-09-06 19:00:23,774][PROCESS_MONITOR][INFO]tritonserver(205294), Memory: 1674 MiB, GPU Memory: 927 MiB
[2022-09-06 19:00:24,790][PROCESS_MONITOR][INFO]tritonserver(205294), Memory: 1674 MiB, GPU Memory: 927 MiB
[2022-09-06 19:00:25,806][PROCESS_MONITOR][INFO]tritonserver(205294), Memory: 1674 MiB, GPU Memory: 927 MiB
[2022-09-06 19:00:26,823][PROCESS_MONITOR][INFO]tritonserver(205294), Memory: 1674 MiB, GPU Memory: 927 MiB
[2022-09-06 19:00:27,841][PROCESS_MONITOR][INFO]tritonserver(205294), Memory: 1674 MiB, GPU Memory: 927 MiB
[2022-09-06 19:00:28,857][PROCESS_MONITOR][INFO]tritonserver(205294), Memory: 1674 MiB, GPU Memory: 927 MiB
[2022-09-06 19:00:29,872][PROCESS_MONITOR][INFO]tritonserver(205294), Memory: 1674 MiB, GPU Memory: 927 MiB
[2022-09-06 19:00:30,890][PROCESS_MONITOR][INFO]tritonserver(205294), Memory: 1674 MiB, GPU Memory: 927 MiB
[2022-09-06 19:00:31,907][PROCESS_MONITOR][INFO]tritonserver(205294), Memory: 1674 MiB, GPU Memory: 927 MiB
[2022-09-06 19:00:32,924][PROCESS_MONITOR][INFO]tritonserver(205294), Memory: 1674 MiB, GPU Memory: 927 MiB
[2022-09-06 19:00:33,941][PROCESS_MONITOR][INFO]tritonserver(205294), Memory: 1674 MiB, GPU Memory: 927 MiB
[2022-09-06 19:00:34,957][PROCESS_MONITOR][INFO]tritonserver(205294), Memory: 1674 MiB, GPU Memory: 927 MiB
[2022-09-06 19:00:35,974][PROCESS_MONITOR][INFO]tritonserver(205294), Memory: 1674 MiB, GPU Memory: 927 MiB
[2022-09-06 19:00:36,989][PROCESS_MONITOR][INFO]tritonserver(205294), Memory: 1674 MiB, GPU Memory: 927 MiB
[2022-09-06 19:00:38,004][PROCESS_MONITOR][INFO]tritonserver(205294), Memory: 1706 MiB, GPU Memory: 927 MiB
[2022-09-06 19:00:39,018][PROCESS_MONITOR][INFO]tritonserver(205294), Memory: 3334 MiB, GPU Memory: 1511 MiB
[2022-09-06 19:00:40,033][PROCESS_MONITOR][INFO]tritonserver(205294), Memory: 3488 MiB, GPU Memory: 1699 MiB
[2022-09-06 19:00:41,048][PROCESS_MONITOR][INFO]tritonserver(205294), Memory: 3488 MiB, GPU Memory: 1699 MiB
[2022-09-06 19:00:42,064][PROCESS_MONITOR][INFO]tritonserver(205294), Memory: 3488 MiB, GPU Memory: 1699 MiB
[2022-09-06 19:00:43,080][PROCESS_MONITOR][INFO]tritonserver(205294), Memory: 3488 MiB, GPU Memory: 1699 MiB
[2022-09-06 19:00:44,095][PROCESS_MONITOR][INFO]tritonserver(205294), Memory: 3488 MiB, GPU Memory: 1699 MiB
[2022-09-06 19:00:45,111][PROCESS_MONITOR][INFO]tritonserver(205294), Memory: 3493 MiB, GPU Memory: 1699 MiB
[2022-09-06 19:00:46,127][PROCESS_MONITOR][INFO]tritonserver(205294), Memory: 3493 MiB, GPU Memory: 1699 MiB
