[2022-09-02 11:57:26,216][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 1711 MiB, GPU Memory: 927 MiB
[2022-09-02 11:57:27,232][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 1711 MiB, GPU Memory: 927 MiB
[2022-09-02 11:57:28,246][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 2045 MiB, GPU Memory: 1047 MiB
[2022-09-02 11:57:29,261][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3513 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:57:30,276][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3513 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:57:31,291][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3513 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:57:32,307][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3513 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:57:33,322][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3513 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:57:34,337][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3513 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:57:35,353][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3518 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:57:36,368][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3518 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:57:37,384][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3518 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:57:38,400][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3518 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:57:39,414][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3518 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:57:40,430][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3518 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:57:41,447][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3518 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:57:42,463][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3518 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:57:43,479][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3518 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:57:44,494][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3518 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:57:45,511][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3518 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:57:46,526][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3518 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:57:47,544][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3518 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:57:48,560][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3518 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:57:49,575][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3600 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:57:50,590][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3611 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:57:51,606][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3618 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:57:52,622][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3630 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:57:53,639][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3630 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:57:54,655][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3630 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:57:55,671][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3630 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:57:56,686][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3630 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:57:57,702][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3630 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:57:58,718][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3630 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:57:59,733][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3630 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:58:00,749][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3630 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:58:01,764][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3630 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:58:02,780][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3630 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:58:03,794][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3630 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:58:04,811][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3630 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:58:05,827][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3630 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:58:06,843][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3630 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:58:07,858][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3630 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:58:08,875][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3630 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:58:09,891][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3630 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:58:10,906][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3630 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:58:11,922][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3630 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:58:12,939][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3630 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:58:13,954][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3630 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:58:14,970][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3630 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:58:15,986][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3630 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:58:17,002][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3630 MiB, GPU Memory: 1699 MiB
[2022-09-02 11:58:18,017][PROCESS_MONITOR][INFO]tritonserver(2029634), Memory: 3630 MiB, GPU Memory: 1699 MiB
