[2022-08-29 12:38:53,972][PROCESS_MONITOR][INFO]python(1044876), Memory: 3751 MiB, GPU Memory: 1783 MiB
[2022-08-29 12:38:54,989][PROCESS_MONITOR][INFO]python(1044876), Memory: 3751 MiB, GPU Memory: 1783 MiB
[2022-08-29 12:38:56,004][PROCESS_MONITOR][INFO]python(1044876), Memory: 3751 MiB, GPU Memory: 1783 MiB
[2022-08-29 12:38:57,020][PROCESS_MONITOR][INFO]python(1044876), Memory: 3751 MiB, GPU Memory: 1783 MiB
[2022-08-29 12:38:58,036][PROCESS_MONITOR][INFO]python(1044876), Memory: 3751 MiB, GPU Memory: 1783 MiB
[2022-08-29 12:38:59,051][PROCESS_MONITOR][INFO]python(1044876), Memory: 3751 MiB, GPU Memory: 1783 MiB
[2022-08-29 12:39:00,067][PROCESS_MONITOR][INFO]python(1044876), Memory: 3751 MiB, GPU Memory: 1783 MiB
[2022-08-29 12:39:01,084][PROCESS_MONITOR][INFO]python(1044876), Memory: 3751 MiB, GPU Memory: 1783 MiB
[2022-08-29 12:39:02,100][PROCESS_MONITOR][INFO]python(1044876), Memory: 3751 MiB, GPU Memory: 1783 MiB
[2022-08-29 12:39:03,116][PROCESS_MONITOR][INFO]python(1044876), Memory: 3751 MiB, GPU Memory: 1783 MiB
[2022-08-29 12:39:04,131][PROCESS_MONITOR][INFO]python(1044876), Memory: 3751 MiB, GPU Memory: 1783 MiB
[2022-08-29 12:39:05,147][PROCESS_MONITOR][INFO]python(1044876), Memory: 3751 MiB, GPU Memory: 1783 MiB
[2022-08-29 12:39:06,164][PROCESS_MONITOR][INFO]python(1044876), Memory: 3751 MiB, GPU Memory: 1783 MiB
[2022-08-29 12:39:07,181][PROCESS_MONITOR][INFO]python(1044876), Memory: 3751 MiB, GPU Memory: 1783 MiB
[2022-08-29 12:39:08,197][PROCESS_MONITOR][INFO]python(1044876), Memory: 3751 MiB, GPU Memory: 1783 MiB
[2022-08-29 12:39:09,213][PROCESS_MONITOR][INFO]python(1044876), Memory: 3751 MiB, GPU Memory: 1783 MiB
[2022-08-29 12:39:10,227][PROCESS_MONITOR][INFO]python(1044876), Memory: 4168 MiB, GPU Memory: 1919 MiB
[2022-08-29 12:39:11,242][PROCESS_MONITOR][INFO]python(1044876), Memory: 4669 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:12,255][PROCESS_MONITOR][INFO]python(1044876), Memory: 4669 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:13,271][PROCESS_MONITOR][INFO]python(1044876), Memory: 4669 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:14,284][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:15,300][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:16,314][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:17,330][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:18,346][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:19,361][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:20,374][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:21,390][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:22,406][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:23,422][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:24,438][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:25,453][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:26,468][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:27,483][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:28,497][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:29,512][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:30,528][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:31,543][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:32,558][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:33,572][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:34,588][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:35,604][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:36,619][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:37,633][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:38,649][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:39,664][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:40,679][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:41,695][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:42,710][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:43,726][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:44,742][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:45,758][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:46,772][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:47,788][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:48,804][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
[2022-08-29 12:39:49,821][PROCESS_MONITOR][INFO]python(1044876), Memory: 4670 MiB, GPU Memory: 2325 MiB
