[2022-08-30 20:27:37,580][PROCESS_MONITOR][INFO]python(1471551), Memory: 3768 MiB, GPU Memory: 1783 MiB
[2022-08-30 20:27:38,597][PROCESS_MONITOR][INFO]python(1471551), Memory: 3768 MiB, GPU Memory: 1783 MiB
[2022-08-30 20:27:39,614][PROCESS_MONITOR][INFO]python(1471551), Memory: 3768 MiB, GPU Memory: 1783 MiB
[2022-08-30 20:27:40,631][PROCESS_MONITOR][INFO]python(1471551), Memory: 3768 MiB, GPU Memory: 1783 MiB
[2022-08-30 20:27:41,648][PROCESS_MONITOR][INFO]python(1471551), Memory: 3768 MiB, GPU Memory: 1783 MiB
[2022-08-30 20:27:42,662][PROCESS_MONITOR][INFO]python(1471551), Memory: 3768 MiB, GPU Memory: 1783 MiB
[2022-08-30 20:27:43,679][PROCESS_MONITOR][INFO]python(1471551), Memory: 3768 MiB, GPU Memory: 1783 MiB
[2022-08-30 20:27:44,695][PROCESS_MONITOR][INFO]python(1471551), Memory: 3768 MiB, GPU Memory: 1783 MiB
[2022-08-30 20:27:45,712][PROCESS_MONITOR][INFO]python(1471551), Memory: 3768 MiB, GPU Memory: 1783 MiB
[2022-08-30 20:27:46,729][PROCESS_MONITOR][INFO]python(1471551), Memory: 3768 MiB, GPU Memory: 1783 MiB
[2022-08-30 20:27:47,745][PROCESS_MONITOR][INFO]python(1471551), Memory: 3768 MiB, GPU Memory: 1783 MiB
[2022-08-30 20:27:48,763][PROCESS_MONITOR][INFO]python(1471551), Memory: 3768 MiB, GPU Memory: 1783 MiB
[2022-08-30 20:27:49,780][PROCESS_MONITOR][INFO]python(1471551), Memory: 3768 MiB, GPU Memory: 1783 MiB
[2022-08-30 20:27:50,797][PROCESS_MONITOR][INFO]python(1471551), Memory: 3768 MiB, GPU Memory: 1783 MiB
[2022-08-30 20:27:51,814][PROCESS_MONITOR][INFO]python(1471551), Memory: 3768 MiB, GPU Memory: 1783 MiB
[2022-08-30 20:27:52,830][PROCESS_MONITOR][INFO]python(1471551), Memory: 3768 MiB, GPU Memory: 1783 MiB
[2022-08-30 20:27:53,847][PROCESS_MONITOR][INFO]python(1471551), Memory: 3768 MiB, GPU Memory: 1783 MiB
[2022-08-30 20:27:54,864][PROCESS_MONITOR][INFO]python(1471551), Memory: 3768 MiB, GPU Memory: 1783 MiB
[2022-08-30 20:27:55,881][PROCESS_MONITOR][INFO]python(1471551), Memory: 3768 MiB, GPU Memory: 1783 MiB
[2022-08-30 20:27:56,897][PROCESS_MONITOR][INFO]python(1471551), Memory: 3768 MiB, GPU Memory: 1783 MiB
[2022-08-30 20:27:57,912][PROCESS_MONITOR][INFO]python(1471551), Memory: 3768 MiB, GPU Memory: 1783 MiB
[2022-08-30 20:27:58,929][PROCESS_MONITOR][INFO]python(1471551), Memory: 3768 MiB, GPU Memory: 1783 MiB
[2022-08-30 20:27:59,946][PROCESS_MONITOR][INFO]python(1471551), Memory: 3768 MiB, GPU Memory: 1783 MiB
[2022-08-30 20:28:00,962][PROCESS_MONITOR][INFO]python(1471551), Memory: 3768 MiB, GPU Memory: 1783 MiB
[2022-08-30 20:28:01,977][PROCESS_MONITOR][INFO]python(1471551), Memory: 3768 MiB, GPU Memory: 1783 MiB
[2022-08-30 20:28:02,993][PROCESS_MONITOR][INFO]python(1471551), Memory: 3768 MiB, GPU Memory: 1783 MiB
[2022-08-30 20:28:04,007][PROCESS_MONITOR][INFO]python(1471551), Memory: 3768 MiB, GPU Memory: 1783 MiB
[2022-08-30 20:28:05,021][PROCESS_MONITOR][INFO]python(1471551), Memory: 4535 MiB, GPU Memory: 2037 MiB
[2022-08-30 20:28:06,034][PROCESS_MONITOR][INFO]python(1471551), Memory: 4785 MiB, GPU Memory: 2323 MiB
[2022-08-30 20:28:07,049][PROCESS_MONITOR][INFO]python(1471551), Memory: 4810 MiB, GPU Memory: 2327 MiB
[2022-08-30 20:28:08,065][PROCESS_MONITOR][INFO]python(1471551), Memory: 4810 MiB, GPU Memory: 2327 MiB
[2022-08-30 20:28:09,081][PROCESS_MONITOR][INFO]python(1471551), Memory: 4811 MiB, GPU Memory: 2327 MiB
[2022-08-30 20:28:10,096][PROCESS_MONITOR][INFO]python(1471551), Memory: 4811 MiB, GPU Memory: 2327 MiB
[2022-08-30 20:28:11,111][PROCESS_MONITOR][INFO]python(1471551), Memory: 4811 MiB, GPU Memory: 2327 MiB
[2022-08-30 20:28:12,127][PROCESS_MONITOR][INFO]python(1471551), Memory: 4811 MiB, GPU Memory: 2327 MiB
[2022-08-30 20:28:13,143][PROCESS_MONITOR][INFO]python(1471551), Memory: 4811 MiB, GPU Memory: 2327 MiB
[2022-08-30 20:28:14,158][PROCESS_MONITOR][INFO]python(1471551), Memory: 4811 MiB, GPU Memory: 2327 MiB
[2022-08-30 20:28:15,175][PROCESS_MONITOR][INFO]python(1471551), Memory: 4811 MiB, GPU Memory: 2327 MiB
[2022-08-30 20:28:16,190][PROCESS_MONITOR][INFO]python(1471551), Memory: 4811 MiB, GPU Memory: 2327 MiB
[2022-08-30 20:28:17,206][PROCESS_MONITOR][INFO]python(1471551), Memory: 4811 MiB, GPU Memory: 2327 MiB
[2022-08-30 20:28:18,222][PROCESS_MONITOR][INFO]python(1471551), Memory: 4811 MiB, GPU Memory: 2327 MiB
[2022-08-30 20:28:19,238][PROCESS_MONITOR][INFO]python(1471551), Memory: 4811 MiB, GPU Memory: 2327 MiB
