[2022-08-29 11:53:11,759][PROCESS_MONITOR][INFO]python(1032800), Memory: 3760 MiB, GPU Memory: 1973 MiB
[2022-08-29 11:53:12,776][PROCESS_MONITOR][INFO]python(1032800), Memory: 3760 MiB, GPU Memory: 1973 MiB
[2022-08-29 11:53:13,793][PROCESS_MONITOR][INFO]python(1032800), Memory: 3760 MiB, GPU Memory: 1973 MiB
[2022-08-29 11:53:14,809][PROCESS_MONITOR][INFO]python(1032800), Memory: 3760 MiB, GPU Memory: 1973 MiB
[2022-08-29 11:53:15,824][PROCESS_MONITOR][INFO]python(1032800), Memory: 3760 MiB, GPU Memory: 1973 MiB
[2022-08-29 11:53:16,840][PROCESS_MONITOR][INFO]python(1032800), Memory: 3760 MiB, GPU Memory: 1973 MiB
[2022-08-29 11:53:17,856][PROCESS_MONITOR][INFO]python(1032800), Memory: 3760 MiB, GPU Memory: 1973 MiB
[2022-08-29 11:53:18,872][PROCESS_MONITOR][INFO]python(1032800), Memory: 3760 MiB, GPU Memory: 1973 MiB
[2022-08-29 11:53:19,889][PROCESS_MONITOR][INFO]python(1032800), Memory: 3760 MiB, GPU Memory: 1973 MiB
[2022-08-29 11:53:20,905][PROCESS_MONITOR][INFO]python(1032800), Memory: 3760 MiB, GPU Memory: 1973 MiB
[2022-08-29 11:53:21,923][PROCESS_MONITOR][INFO]python(1032800), Memory: 3760 MiB, GPU Memory: 1973 MiB
[2022-08-29 11:53:22,938][PROCESS_MONITOR][INFO]python(1032800), Memory: 3760 MiB, GPU Memory: 1973 MiB
[2022-08-29 11:53:23,955][PROCESS_MONITOR][INFO]python(1032800), Memory: 3760 MiB, GPU Memory: 1973 MiB
[2022-08-29 11:53:24,970][PROCESS_MONITOR][INFO]python(1032800), Memory: 3760 MiB, GPU Memory: 1973 MiB
[2022-08-29 11:53:25,987][PROCESS_MONITOR][INFO]python(1032800), Memory: 3760 MiB, GPU Memory: 1973 MiB
[2022-08-29 11:53:27,004][PROCESS_MONITOR][INFO]python(1032800), Memory: 3760 MiB, GPU Memory: 1973 MiB
[2022-08-29 11:53:28,020][PROCESS_MONITOR][INFO]python(1032800), Memory: 3760 MiB, GPU Memory: 1973 MiB
[2022-08-29 11:53:29,034][PROCESS_MONITOR][INFO]python(1032800), Memory: 4255 MiB, GPU Memory: 2167 MiB
[2022-08-29 11:53:30,049][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:53:31,064][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:53:32,080][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:53:33,095][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:53:34,110][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:53:35,124][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:53:36,140][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:53:37,154][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:53:38,170][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:53:39,187][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:53:40,201][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:53:41,216][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:53:42,231][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:53:43,246][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:53:44,261][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:53:45,276][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:53:46,292][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:53:47,307][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:53:48,323][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:53:49,337][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:53:50,352][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:53:51,367][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:53:52,383][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:53:53,398][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:53:54,414][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:53:55,430][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:53:56,446][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:53:57,460][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:53:58,474][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:53:59,490][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:54:00,507][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:54:01,521][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:54:02,536][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:54:03,552][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:54:04,568][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:54:05,583][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:54:06,599][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:54:07,614][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:54:08,630][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:54:09,646][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:54:10,662][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:54:11,678][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:54:12,694][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:54:13,710][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
[2022-08-29 11:54:14,725][PROCESS_MONITOR][INFO]python(1032800), Memory: 4688 MiB, GPU Memory: 6229 MiB
