[2022-08-29 18:06:16,671][PROCESS_MONITOR][INFO]python(1137384), Memory: 3914 MiB, GPU Memory: 1973 MiB
[2022-08-29 18:06:17,688][PROCESS_MONITOR][INFO]python(1137384), Memory: 3914 MiB, GPU Memory: 1973 MiB
[2022-08-29 18:06:18,705][PROCESS_MONITOR][INFO]python(1137384), Memory: 3914 MiB, GPU Memory: 1973 MiB
[2022-08-29 18:06:19,721][PROCESS_MONITOR][INFO]python(1137384), Memory: 3914 MiB, GPU Memory: 1973 MiB
[2022-08-29 18:06:20,738][PROCESS_MONITOR][INFO]python(1137384), Memory: 3914 MiB, GPU Memory: 1973 MiB
[2022-08-29 18:06:21,754][PROCESS_MONITOR][INFO]python(1137384), Memory: 3914 MiB, GPU Memory: 1973 MiB
[2022-08-29 18:06:22,771][PROCESS_MONITOR][INFO]python(1137384), Memory: 3914 MiB, GPU Memory: 1973 MiB
[2022-08-29 18:06:23,789][PROCESS_MONITOR][INFO]python(1137384), Memory: 3914 MiB, GPU Memory: 1973 MiB
[2022-08-29 18:06:24,804][PROCESS_MONITOR][INFO]python(1137384), Memory: 3914 MiB, GPU Memory: 1973 MiB
[2022-08-29 18:06:25,821][PROCESS_MONITOR][INFO]python(1137384), Memory: 3914 MiB, GPU Memory: 1973 MiB
[2022-08-29 18:06:26,839][PROCESS_MONITOR][INFO]python(1137384), Memory: 3914 MiB, GPU Memory: 1973 MiB
[2022-08-29 18:06:27,856][PROCESS_MONITOR][INFO]python(1137384), Memory: 3914 MiB, GPU Memory: 1973 MiB
[2022-08-29 18:06:28,872][PROCESS_MONITOR][INFO]python(1137384), Memory: 3914 MiB, GPU Memory: 1973 MiB
[2022-08-29 18:06:29,889][PROCESS_MONITOR][INFO]python(1137384), Memory: 3914 MiB, GPU Memory: 1973 MiB
[2022-08-29 18:06:30,904][PROCESS_MONITOR][INFO]python(1137384), Memory: 3914 MiB, GPU Memory: 1973 MiB
[2022-08-29 18:06:31,921][PROCESS_MONITOR][INFO]python(1137384), Memory: 3914 MiB, GPU Memory: 1973 MiB
[2022-08-29 18:06:32,936][PROCESS_MONITOR][INFO]python(1137384), Memory: 3914 MiB, GPU Memory: 1973 MiB
[2022-08-29 18:06:33,953][PROCESS_MONITOR][INFO]python(1137384), Memory: 3914 MiB, GPU Memory: 1973 MiB
[2022-08-29 18:06:34,969][PROCESS_MONITOR][INFO]python(1137384), Memory: 3914 MiB, GPU Memory: 1973 MiB
[2022-08-29 18:06:35,986][PROCESS_MONITOR][INFO]python(1137384), Memory: 3914 MiB, GPU Memory: 1973 MiB
[2022-08-29 18:06:37,003][PROCESS_MONITOR][INFO]python(1137384), Memory: 3914 MiB, GPU Memory: 1973 MiB
[2022-08-29 18:06:38,021][PROCESS_MONITOR][INFO]python(1137384), Memory: 3914 MiB, GPU Memory: 1973 MiB
[2022-08-29 18:06:39,037][PROCESS_MONITOR][INFO]python(1137384), Memory: 3914 MiB, GPU Memory: 1973 MiB
[2022-08-29 18:06:40,052][PROCESS_MONITOR][INFO]python(1137384), Memory: 3914 MiB, GPU Memory: 1973 MiB
[2022-08-29 18:06:41,067][PROCESS_MONITOR][INFO]python(1137384), Memory: 4366 MiB, GPU Memory: 2187 MiB
[2022-08-29 18:06:42,081][PROCESS_MONITOR][INFO]python(1137384), Memory: 4811 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:06:43,096][PROCESS_MONITOR][INFO]python(1137384), Memory: 4812 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:06:44,113][PROCESS_MONITOR][INFO]python(1137384), Memory: 4813 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:06:45,128][PROCESS_MONITOR][INFO]python(1137384), Memory: 4814 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:06:46,144][PROCESS_MONITOR][INFO]python(1137384), Memory: 4816 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:06:47,158][PROCESS_MONITOR][INFO]python(1137384), Memory: 4817 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:06:48,174][PROCESS_MONITOR][INFO]python(1137384), Memory: 4818 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:06:49,190][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:06:50,207][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:06:51,222][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:06:52,239][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:06:53,254][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:06:54,270][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:06:55,287][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:06:56,302][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:06:57,316][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:06:58,331][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:06:59,347][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:00,363][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:01,379][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:02,394][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:03,410][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:04,426][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:05,442][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:06,458][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:07,474][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:08,490][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:09,505][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:10,520][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:11,536][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:12,552][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:13,568][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:14,583][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:15,599][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:16,615][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:17,631][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:18,646][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:19,662][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:20,679][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:21,694][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:22,709][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:23,724][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:24,739][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:25,755][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:26,771][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:27,787][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:28,803][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:29,819][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:30,834][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:31,851][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:32,867][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:33,882][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:34,898][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:35,914][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:36,929][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:37,945][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:38,960][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:39,975][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:40,991][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:42,007][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:43,024][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:44,038][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:45,054][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:46,070][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:47,086][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:48,102][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:49,116][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:50,132][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:51,147][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:52,162][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:53,178][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:54,194][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:55,210][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:56,225][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:57,241][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:58,256][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:07:59,272][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:08:00,289][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:08:01,305][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:08:02,321][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:08:03,336][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:08:04,352][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:08:05,368][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:08:06,384][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:08:07,398][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:08:08,414][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:08:09,429][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:08:10,445][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:08:11,460][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:08:12,476][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:08:13,492][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:08:14,508][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:08:15,523][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:08:16,539][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:08:17,555][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:08:18,571][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:08:19,586][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:08:20,602][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:08:21,616][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:08:22,631][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:08:23,647][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:08:24,663][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:08:25,679][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:08:26,694][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:08:27,710][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:08:28,726][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:08:29,742][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:08:30,758][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
[2022-08-29 18:08:31,774][PROCESS_MONITOR][INFO]python(1137384), Memory: 4820 MiB, GPU Memory: 6227 MiB
