[2022-08-29 13:07:57,448][PROCESS_MONITOR][INFO]python(1052739), Memory: 3743 MiB, GPU Memory: 1725 MiB
[2022-08-29 13:07:58,464][PROCESS_MONITOR][INFO]python(1052739), Memory: 3743 MiB, GPU Memory: 1725 MiB
[2022-08-29 13:07:59,481][PROCESS_MONITOR][INFO]python(1052739), Memory: 3743 MiB, GPU Memory: 1725 MiB
[2022-08-29 13:08:00,497][PROCESS_MONITOR][INFO]python(1052739), Memory: 3743 MiB, GPU Memory: 1725 MiB
[2022-08-29 13:08:01,513][PROCESS_MONITOR][INFO]python(1052739), Memory: 3743 MiB, GPU Memory: 1725 MiB
[2022-08-29 13:08:02,529][PROCESS_MONITOR][INFO]python(1052739), Memory: 3743 MiB, GPU Memory: 1725 MiB
[2022-08-29 13:08:03,544][PROCESS_MONITOR][INFO]python(1052739), Memory: 3743 MiB, GPU Memory: 1725 MiB
[2022-08-29 13:08:04,561][PROCESS_MONITOR][INFO]python(1052739), Memory: 3743 MiB, GPU Memory: 1725 MiB
[2022-08-29 13:08:05,576][PROCESS_MONITOR][INFO]python(1052739), Memory: 3743 MiB, GPU Memory: 1725 MiB
[2022-08-29 13:08:06,593][PROCESS_MONITOR][INFO]python(1052739), Memory: 3743 MiB, GPU Memory: 1725 MiB
[2022-08-29 13:08:07,609][PROCESS_MONITOR][INFO]python(1052739), Memory: 3743 MiB, GPU Memory: 1725 MiB
[2022-08-29 13:08:08,625][PROCESS_MONITOR][INFO]python(1052739), Memory: 3743 MiB, GPU Memory: 1725 MiB
[2022-08-29 13:08:09,641][PROCESS_MONITOR][INFO]python(1052739), Memory: 3743 MiB, GPU Memory: 1725 MiB
[2022-08-29 13:08:10,658][PROCESS_MONITOR][INFO]python(1052739), Memory: 3743 MiB, GPU Memory: 1725 MiB
[2022-08-29 13:08:11,675][PROCESS_MONITOR][INFO]python(1052739), Memory: 3743 MiB, GPU Memory: 1725 MiB
[2022-08-29 13:08:12,691][PROCESS_MONITOR][INFO]python(1052739), Memory: 3743 MiB, GPU Memory: 1725 MiB
[2022-08-29 13:08:13,708][PROCESS_MONITOR][INFO]python(1052739), Memory: 3743 MiB, GPU Memory: 1725 MiB
[2022-08-29 13:08:14,724][PROCESS_MONITOR][INFO]python(1052739), Memory: 3743 MiB, GPU Memory: 1725 MiB
