[2022-08-31 16:52:29,682][PROCESS_MONITOR][INFO]python(1486654), Memory: 3728 MiB, GPU Memory: 1725 MiB
[2022-08-31 16:52:30,699][PROCESS_MONITOR][INFO]python(1486654), Memory: 3728 MiB, GPU Memory: 1725 MiB
[2022-08-31 16:52:31,715][PROCESS_MONITOR][INFO]python(1486654), Memory: 3737 MiB, GPU Memory: 1725 MiB
[2022-08-31 16:52:32,731][PROCESS_MONITOR][INFO]python(1486654), Memory: 4682 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:52:33,747][PROCESS_MONITOR][INFO]python(1486654), Memory: 4682 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:52:34,762][PROCESS_MONITOR][INFO]python(1486654), Memory: 4682 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:52:35,778][PROCESS_MONITOR][INFO]python(1486654), Memory: 4682 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:52:36,794][PROCESS_MONITOR][INFO]python(1486654), Memory: 4682 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:52:37,810][PROCESS_MONITOR][INFO]python(1486654), Memory: 4682 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:52:38,826][PROCESS_MONITOR][INFO]python(1486654), Memory: 4682 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:52:39,842][PROCESS_MONITOR][INFO]python(1486654), Memory: 4682 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:52:40,857][PROCESS_MONITOR][INFO]python(1486654), Memory: 4682 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:52:41,873][PROCESS_MONITOR][INFO]python(1486654), Memory: 4682 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:52:42,888][PROCESS_MONITOR][INFO]python(1486654), Memory: 4682 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:52:43,903][PROCESS_MONITOR][INFO]python(1486654), Memory: 4682 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:52:44,919][PROCESS_MONITOR][INFO]python(1486654), Memory: 4682 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:52:45,935][PROCESS_MONITOR][INFO]python(1486654), Memory: 4683 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:52:46,951][PROCESS_MONITOR][INFO]python(1486654), Memory: 4683 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:52:47,966][PROCESS_MONITOR][INFO]python(1486654), Memory: 4683 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:52:48,981][PROCESS_MONITOR][INFO]python(1486654), Memory: 4683 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:52:49,997][PROCESS_MONITOR][INFO]python(1486654), Memory: 4683 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:52:51,016][PROCESS_MONITOR][INFO]python(1486654), Memory: 4683 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:52:52,031][PROCESS_MONITOR][INFO]python(1486654), Memory: 4683 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:52:53,046][PROCESS_MONITOR][INFO]python(1486654), Memory: 4683 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:52:54,061][PROCESS_MONITOR][INFO]python(1486654), Memory: 4683 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:52:55,076][PROCESS_MONITOR][INFO]python(1486654), Memory: 4683 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:52:56,091][PROCESS_MONITOR][INFO]python(1486654), Memory: 4683 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:52:57,106][PROCESS_MONITOR][INFO]python(1486654), Memory: 4683 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:52:58,122][PROCESS_MONITOR][INFO]python(1486654), Memory: 4683 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:52:59,138][PROCESS_MONITOR][INFO]python(1486654), Memory: 4683 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:53:00,153][PROCESS_MONITOR][INFO]python(1486654), Memory: 4683 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:53:01,168][PROCESS_MONITOR][INFO]python(1486654), Memory: 4683 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:53:02,185][PROCESS_MONITOR][INFO]python(1486654), Memory: 4683 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:53:03,199][PROCESS_MONITOR][INFO]python(1486654), Memory: 4683 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:53:04,214][PROCESS_MONITOR][INFO]python(1486654), Memory: 4683 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:53:05,230][PROCESS_MONITOR][INFO]python(1486654), Memory: 4683 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:53:06,246][PROCESS_MONITOR][INFO]python(1486654), Memory: 4683 MiB, GPU Memory: 2125 MiB
[2022-08-31 16:53:07,263][PROCESS_MONITOR][INFO]python(1486654), Memory: 4683 MiB, GPU Memory: 2125 MiB
