[2022-08-29 11:30:02,480][PROCESS_MONITOR][INFO]python(1028545), Memory: 3749 MiB, GPU Memory: 1941 MiB
[2022-08-29 11:30:03,494][PROCESS_MONITOR][INFO]python(1028545), Memory: 3749 MiB, GPU Memory: 1941 MiB
[2022-08-29 11:30:04,509][PROCESS_MONITOR][INFO]python(1028545), Memory: 3749 MiB, GPU Memory: 1941 MiB
[2022-08-29 11:30:05,525][PROCESS_MONITOR][INFO]python(1028545), Memory: 3749 MiB, GPU Memory: 1941 MiB
[2022-08-29 11:30:06,541][PROCESS_MONITOR][INFO]python(1028545), Memory: 3749 MiB, GPU Memory: 1941 MiB
[2022-08-29 11:30:07,557][PROCESS_MONITOR][INFO]python(1028545), Memory: 3749 MiB, GPU Memory: 1941 MiB
[2022-08-29 11:30:08,573][PROCESS_MONITOR][INFO]python(1028545), Memory: 3749 MiB, GPU Memory: 1941 MiB
[2022-08-29 11:30:09,590][PROCESS_MONITOR][INFO]python(1028545), Memory: 3749 MiB, GPU Memory: 1941 MiB
[2022-08-29 11:30:10,607][PROCESS_MONITOR][INFO]python(1028545), Memory: 3749 MiB, GPU Memory: 1941 MiB
[2022-08-29 11:30:11,624][PROCESS_MONITOR][INFO]python(1028545), Memory: 3749 MiB, GPU Memory: 1941 MiB
[2022-08-29 11:30:12,639][PROCESS_MONITOR][INFO]python(1028545), Memory: 3749 MiB, GPU Memory: 1941 MiB
[2022-08-29 11:30:13,655][PROCESS_MONITOR][INFO]python(1028545), Memory: 3749 MiB, GPU Memory: 1941 MiB
[2022-08-29 11:30:14,672][PROCESS_MONITOR][INFO]python(1028545), Memory: 3749 MiB, GPU Memory: 1941 MiB
[2022-08-29 11:30:15,686][PROCESS_MONITOR][INFO]python(1028545), Memory: 4173 MiB, GPU Memory: 2089 MiB
[2022-08-29 11:30:16,701][PROCESS_MONITOR][INFO]python(1028545), Memory: 4667 MiB, GPU Memory: 2459 MiB
[2022-08-29 11:30:17,716][PROCESS_MONITOR][INFO]python(1028545), Memory: 4667 MiB, GPU Memory: 2459 MiB
[2022-08-29 11:30:18,731][PROCESS_MONITOR][INFO]python(1028545), Memory: 4667 MiB, GPU Memory: 2459 MiB
[2022-08-29 11:30:19,746][PROCESS_MONITOR][INFO]python(1028545), Memory: 4667 MiB, GPU Memory: 2459 MiB
[2022-08-29 11:30:20,759][PROCESS_MONITOR][INFO]python(1028545), Memory: 4667 MiB, GPU Memory: 2459 MiB
[2022-08-29 11:30:21,774][PROCESS_MONITOR][INFO]python(1028545), Memory: 4667 MiB, GPU Memory: 2459 MiB
[2022-08-29 11:30:22,790][PROCESS_MONITOR][INFO]python(1028545), Memory: 4667 MiB, GPU Memory: 2459 MiB
[2022-08-29 11:30:23,805][PROCESS_MONITOR][INFO]python(1028545), Memory: 4667 MiB, GPU Memory: 2459 MiB
[2022-08-29 11:30:24,820][PROCESS_MONITOR][INFO]python(1028545), Memory: 4667 MiB, GPU Memory: 2459 MiB
[2022-08-29 11:30:25,834][PROCESS_MONITOR][INFO]python(1028545), Memory: 4667 MiB, GPU Memory: 2459 MiB
[2022-08-29 11:30:26,850][PROCESS_MONITOR][INFO]python(1028545), Memory: 4667 MiB, GPU Memory: 2459 MiB
[2022-08-29 11:30:27,865][PROCESS_MONITOR][INFO]python(1028545), Memory: 4667 MiB, GPU Memory: 2459 MiB
[2022-08-29 11:30:28,880][PROCESS_MONITOR][INFO]python(1028545), Memory: 4667 MiB, GPU Memory: 2459 MiB
[2022-08-29 11:30:29,895][PROCESS_MONITOR][INFO]python(1028545), Memory: 4667 MiB, GPU Memory: 2459 MiB
[2022-08-29 11:30:30,911][PROCESS_MONITOR][INFO]python(1028545), Memory: 4667 MiB, GPU Memory: 2459 MiB
[2022-08-29 11:30:31,925][PROCESS_MONITOR][INFO]python(1028545), Memory: 4667 MiB, GPU Memory: 2459 MiB
[2022-08-29 11:30:32,940][PROCESS_MONITOR][INFO]python(1028545), Memory: 4667 MiB, GPU Memory: 2459 MiB
[2022-08-29 11:30:33,955][PROCESS_MONITOR][INFO]python(1028545), Memory: 4667 MiB, GPU Memory: 2459 MiB
[2022-08-29 11:30:34,971][PROCESS_MONITOR][INFO]python(1028545), Memory: 4667 MiB, GPU Memory: 2459 MiB
[2022-08-29 11:30:35,986][PROCESS_MONITOR][INFO]python(1028545), Memory: 4667 MiB, GPU Memory: 2459 MiB
[2022-08-29 11:30:37,002][PROCESS_MONITOR][INFO]python(1028545), Memory: 4667 MiB, GPU Memory: 2459 MiB
[2022-08-29 11:30:38,018][PROCESS_MONITOR][INFO]python(1028545), Memory: 4667 MiB, GPU Memory: 2459 MiB
[2022-08-29 11:30:39,033][PROCESS_MONITOR][INFO]python(1028545), Memory: 4667 MiB, GPU Memory: 2459 MiB
