[2022-08-30 13:18:32,409][PROCESS_MONITOR][INFO]python(1219292), Memory: 3839 MiB, GPU Memory: 1941 MiB
[2022-08-30 13:18:33,425][PROCESS_MONITOR][INFO]python(1219292), Memory: 3839 MiB, GPU Memory: 1941 MiB
[2022-08-30 13:18:34,440][PROCESS_MONITOR][INFO]python(1219292), Memory: 3839 MiB, GPU Memory: 1941 MiB
[2022-08-30 13:18:35,456][PROCESS_MONITOR][INFO]python(1219292), Memory: 3839 MiB, GPU Memory: 1941 MiB
[2022-08-30 13:18:36,471][PROCESS_MONITOR][INFO]python(1219292), Memory: 3839 MiB, GPU Memory: 1941 MiB
[2022-08-30 13:18:37,488][PROCESS_MONITOR][INFO]python(1219292), Memory: 3839 MiB, GPU Memory: 1941 MiB
[2022-08-30 13:18:38,503][PROCESS_MONITOR][INFO]python(1219292), Memory: 3839 MiB, GPU Memory: 1941 MiB
[2022-08-30 13:18:39,520][PROCESS_MONITOR][INFO]python(1219292), Memory: 3839 MiB, GPU Memory: 1941 MiB
[2022-08-30 13:18:40,536][PROCESS_MONITOR][INFO]python(1219292), Memory: 3839 MiB, GPU Memory: 1941 MiB
[2022-08-30 13:18:41,552][PROCESS_MONITOR][INFO]python(1219292), Memory: 3839 MiB, GPU Memory: 1941 MiB
[2022-08-30 13:18:42,569][PROCESS_MONITOR][INFO]python(1219292), Memory: 3839 MiB, GPU Memory: 1941 MiB
[2022-08-30 13:18:43,585][PROCESS_MONITOR][INFO]python(1219292), Memory: 3839 MiB, GPU Memory: 1941 MiB
[2022-08-30 13:18:44,601][PROCESS_MONITOR][INFO]python(1219292), Memory: 3839 MiB, GPU Memory: 1941 MiB
[2022-08-30 13:18:45,617][PROCESS_MONITOR][INFO]python(1219292), Memory: 3839 MiB, GPU Memory: 1941 MiB
[2022-08-30 13:18:46,634][PROCESS_MONITOR][INFO]python(1219292), Memory: 3839 MiB, GPU Memory: 1941 MiB
[2022-08-30 13:18:47,651][PROCESS_MONITOR][INFO]python(1219292), Memory: 3839 MiB, GPU Memory: 1941 MiB
[2022-08-30 13:18:48,667][PROCESS_MONITOR][INFO]python(1219292), Memory: 3839 MiB, GPU Memory: 1941 MiB
[2022-08-30 13:18:49,684][PROCESS_MONITOR][INFO]python(1219292), Memory: 3839 MiB, GPU Memory: 1941 MiB
[2022-08-30 13:18:50,700][PROCESS_MONITOR][INFO]python(1219292), Memory: 3839 MiB, GPU Memory: 1941 MiB
[2022-08-30 13:18:51,717][PROCESS_MONITOR][INFO]python(1219292), Memory: 3839 MiB, GPU Memory: 1941 MiB
[2022-08-30 13:18:52,732][PROCESS_MONITOR][INFO]python(1219292), Memory: 3839 MiB, GPU Memory: 1941 MiB
[2022-08-30 13:18:53,749][PROCESS_MONITOR][INFO]python(1219292), Memory: 3839 MiB, GPU Memory: 1941 MiB
[2022-08-30 13:18:54,764][PROCESS_MONITOR][INFO]python(1219292), Memory: 3839 MiB, GPU Memory: 1941 MiB
[2022-08-30 13:18:55,781][PROCESS_MONITOR][INFO]python(1219292), Memory: 3839 MiB, GPU Memory: 1941 MiB
[2022-08-30 13:18:56,796][PROCESS_MONITOR][INFO]python(1219292), Memory: 3839 MiB, GPU Memory: 1941 MiB
[2022-08-30 13:18:57,813][PROCESS_MONITOR][INFO]python(1219292), Memory: 3839 MiB, GPU Memory: 1941 MiB
[2022-08-30 13:18:58,828][PROCESS_MONITOR][INFO]python(1219292), Memory: 3839 MiB, GPU Memory: 1941 MiB
[2022-08-30 13:18:59,845][PROCESS_MONITOR][INFO]python(1219292), Memory: 3839 MiB, GPU Memory: 1941 MiB
[2022-08-30 13:19:00,861][PROCESS_MONITOR][INFO]python(1219292), Memory: 3839 MiB, GPU Memory: 1941 MiB
[2022-08-30 13:19:01,876][PROCESS_MONITOR][INFO]python(1219292), Memory: 3839 MiB, GPU Memory: 1941 MiB
