[2022-09-16 14:59:04,394][PROCESS_MONITOR][INFO]tritonserver(48501), Memory: 1588 MiB, GPU Memory: 717 MiB
[2022-09-16 14:59:05,408][PROCESS_MONITOR][INFO]tritonserver(48501), Memory: 1588 MiB, GPU Memory: 717 MiB
[2022-09-16 14:59:06,425][PROCESS_MONITOR][INFO]tritonserver(48501), Memory: 1588 MiB, GPU Memory: 717 MiB
[2022-09-16 14:59:07,440][PROCESS_MONITOR][INFO]tritonserver(48501), Memory: 1588 MiB, GPU Memory: 717 MiB
[2022-09-16 14:59:08,455][PROCESS_MONITOR][INFO]tritonserver(48501), Memory: 1588 MiB, GPU Memory: 717 MiB
[2022-09-16 14:59:09,469][PROCESS_MONITOR][INFO]tritonserver(48501), Memory: 1588 MiB, GPU Memory: 717 MiB
[2022-09-16 14:59:10,485][PROCESS_MONITOR][INFO]tritonserver(48501), Memory: 1588 MiB, GPU Memory: 717 MiB
[2022-09-16 14:59:11,499][PROCESS_MONITOR][INFO]tritonserver(48501), Memory: 1588 MiB, GPU Memory: 717 MiB
[2022-09-16 14:59:12,515][PROCESS_MONITOR][INFO]tritonserver(48501), Memory: 1588 MiB, GPU Memory: 717 MiB
[2022-09-16 14:59:13,530][PROCESS_MONITOR][INFO]tritonserver(48501), Memory: 1588 MiB, GPU Memory: 717 MiB
[2022-09-16 14:59:14,545][PROCESS_MONITOR][INFO]tritonserver(48501), Memory: 1588 MiB, GPU Memory: 717 MiB
[2022-09-16 14:59:15,560][PROCESS_MONITOR][INFO]tritonserver(48501), Memory: 1588 MiB, GPU Memory: 717 MiB
[2022-09-16 14:59:16,576][PROCESS_MONITOR][INFO]tritonserver(48501), Memory: 1588 MiB, GPU Memory: 717 MiB
[2022-09-16 14:59:17,591][PROCESS_MONITOR][INFO]tritonserver(48501), Memory: 1588 MiB, GPU Memory: 717 MiB
[2022-09-16 14:59:18,606][PROCESS_MONITOR][INFO]tritonserver(48501), Memory: 1588 MiB, GPU Memory: 717 MiB
[2022-09-16 14:59:19,621][PROCESS_MONITOR][INFO]tritonserver(48501), Memory: 1588 MiB, GPU Memory: 717 MiB
[2022-09-16 14:59:20,635][PROCESS_MONITOR][INFO]tritonserver(48501), Memory: 1588 MiB, GPU Memory: 717 MiB
[2022-09-16 14:59:21,650][PROCESS_MONITOR][INFO]tritonserver(48501), Memory: 1588 MiB, GPU Memory: 717 MiB
[2022-09-16 14:59:22,666][PROCESS_MONITOR][INFO]tritonserver(48501), Memory: 1588 MiB, GPU Memory: 717 MiB
[2022-09-16 14:59:23,682][PROCESS_MONITOR][INFO]tritonserver(48501), Memory: 1588 MiB, GPU Memory: 717 MiB
