[2022-09-16 14:51:34,934][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 1583 MiB, GPU Memory: 717 MiB
[2022-09-16 14:51:35,950][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 1583 MiB, GPU Memory: 717 MiB
[2022-09-16 14:51:36,967][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 1583 MiB, GPU Memory: 717 MiB
[2022-09-16 14:51:37,982][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 1583 MiB, GPU Memory: 717 MiB
[2022-09-16 14:51:38,997][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 1583 MiB, GPU Memory: 717 MiB
[2022-09-16 14:51:40,012][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 1583 MiB, GPU Memory: 717 MiB
[2022-09-16 14:51:41,027][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 1583 MiB, GPU Memory: 717 MiB
[2022-09-16 14:51:42,043][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 1583 MiB, GPU Memory: 717 MiB
[2022-09-16 14:51:43,059][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 1583 MiB, GPU Memory: 717 MiB
[2022-09-16 14:51:44,073][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 1583 MiB, GPU Memory: 717 MiB
[2022-09-16 14:51:45,089][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 1583 MiB, GPU Memory: 717 MiB
[2022-09-16 14:51:46,101][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 1583 MiB, GPU Memory: 717 MiB
[2022-09-16 14:51:47,113][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 1583 MiB, GPU Memory: 717 MiB
[2022-09-16 14:51:48,128][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3003 MiB, GPU Memory: 1217 MiB
[2022-09-16 14:51:49,140][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3380 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:51:50,156][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3383 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:51:51,171][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3383 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:51:52,184][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3383 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:51:53,198][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3404 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:51:54,212][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3459 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:51:55,225][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3466 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:51:56,241][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3472 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:51:57,254][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:51:58,268][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:51:59,281][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:00,296][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:01,312][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:02,326][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:03,340][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:04,355][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:05,370][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:06,384][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:07,398][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:08,413][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:09,428][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:10,440][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:11,455][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:12,469][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:13,484][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:14,498][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:15,512][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:16,525][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:17,540][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:18,556][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:19,571][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:20,585][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:21,600][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:22,614][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:23,628][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:24,642][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:25,657][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:26,671][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:27,686][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:28,700][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:29,714][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:30,728][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:31,743][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:32,757][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:33,772][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:34,786][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:35,800][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:36,813][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:37,828][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:38,842][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:39,857][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:40,872][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:41,886][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:42,900][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:43,915][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:44,928][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:45,943][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:46,958][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:47,972][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:48,988][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:50,002][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:51,016][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:52,029][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:53,044][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:54,058][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:55,071][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:56,085][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:57,100][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:58,114][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:52:59,129][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:53:00,142][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:53:01,157][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:53:02,170][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:53:03,185][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:53:04,200][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:53:05,214][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:53:06,229][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:53:07,242][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:53:08,256][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:53:09,271][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:53:10,285][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:53:11,300][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:53:12,314][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:53:13,328][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:53:14,341][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:53:15,356][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
[2022-09-16 14:53:16,371][PROCESS_MONITOR][INFO]tritonserver(45233), Memory: 3478 MiB, GPU Memory: 1617 MiB
