[2022-09-16 19:24:13,334][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 976 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:14,349][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 976 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:15,373][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 976 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:16,389][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 976 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:17,404][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 976 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:18,420][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 976 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:19,434][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 976 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:20,450][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 976 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:21,466][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 976 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:22,481][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 976 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:23,496][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 976 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:24,510][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 988 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:25,524][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 990 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:26,538][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 993 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:27,552][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 993 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:28,566][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 993 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:29,580][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 993 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:30,594][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 993 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:31,609][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 993 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:32,622][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 993 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:33,637][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 993 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:34,651][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 994 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:35,664][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 994 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:36,679][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 994 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:37,694][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 994 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:38,709][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 994 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:39,722][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 994 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:40,736][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 994 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:41,750][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 994 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:42,765][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 995 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:43,781][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 995 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:44,796][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 995 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:45,809][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 995 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:46,826][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 995 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:47,841][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 996 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:48,857][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 996 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:49,872][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 996 MiB, GPU Memory: 517 MiB
[2022-09-16 19:24:50,886][PROCESS_MONITOR][INFO]tritonserver(125229), Memory: 996 MiB, GPU Memory: 517 MiB
