[2022-09-22 20:46:00,261][PROCESS_MONITOR][INFO]tritonserver(409240), Memory: 1907 MiB, GPU Memory: 1275 MiB
[2022-09-22 20:46:01,277][PROCESS_MONITOR][INFO]tritonserver(409240), Memory: 1907 MiB, GPU Memory: 1275 MiB
[2022-09-22 20:46:02,292][PROCESS_MONITOR][INFO]tritonserver(409240), Memory: 1907 MiB, GPU Memory: 1275 MiB
[2022-09-22 20:46:03,309][PROCESS_MONITOR][INFO]tritonserver(409240), Memory: 1907 MiB, GPU Memory: 1275 MiB
[2022-09-22 20:46:04,325][PROCESS_MONITOR][INFO]tritonserver(409240), Memory: 1907 MiB, GPU Memory: 1275 MiB
[2022-09-22 20:46:05,339][PROCESS_MONITOR][INFO]tritonserver(409240), Memory: 1907 MiB, GPU Memory: 1275 MiB
[2022-09-22 20:46:06,355][PROCESS_MONITOR][INFO]tritonserver(409240), Memory: 1907 MiB, GPU Memory: 1275 MiB
[2022-09-22 20:46:07,370][PROCESS_MONITOR][INFO]tritonserver(409240), Memory: 1907 MiB, GPU Memory: 1275 MiB
[2022-09-22 20:46:08,387][PROCESS_MONITOR][INFO]tritonserver(409240), Memory: 1907 MiB, GPU Memory: 1275 MiB
[2022-09-22 20:46:09,402][PROCESS_MONITOR][INFO]tritonserver(409240), Memory: 1907 MiB, GPU Memory: 1275 MiB
[2022-09-22 20:46:10,417][PROCESS_MONITOR][INFO]tritonserver(409240), Memory: 1907 MiB, GPU Memory: 1275 MiB
[2022-09-22 20:46:11,433][PROCESS_MONITOR][INFO]tritonserver(409240), Memory: 1907 MiB, GPU Memory: 1275 MiB
[2022-09-22 20:46:12,448][PROCESS_MONITOR][INFO]tritonserver(409240), Memory: 1907 MiB, GPU Memory: 1275 MiB
[2022-09-22 20:46:13,465][PROCESS_MONITOR][INFO]tritonserver(409240), Memory: 1907 MiB, GPU Memory: 1275 MiB
[2022-09-22 20:46:14,480][PROCESS_MONITOR][INFO]tritonserver(409240), Memory: 1907 MiB, GPU Memory: 1275 MiB
[2022-09-22 20:46:15,496][PROCESS_MONITOR][INFO]tritonserver(409240), Memory: 1907 MiB, GPU Memory: 1275 MiB
[2022-09-22 20:46:16,512][PROCESS_MONITOR][INFO]tritonserver(409240), Memory: 1907 MiB, GPU Memory: 1275 MiB
[2022-09-22 20:46:17,529][PROCESS_MONITOR][INFO]tritonserver(409240), Memory: 1907 MiB, GPU Memory: 1275 MiB
[2022-09-22 20:46:18,545][PROCESS_MONITOR][INFO]tritonserver(409240), Memory: 1907 MiB, GPU Memory: 1275 MiB
[2022-09-22 20:46:19,562][PROCESS_MONITOR][INFO]tritonserver(409240), Memory: 1907 MiB, GPU Memory: 1275 MiB
[2022-09-22 20:46:20,579][PROCESS_MONITOR][INFO]tritonserver(409240), Memory: 1907 MiB, GPU Memory: 1275 MiB
[2022-09-22 20:46:21,595][PROCESS_MONITOR][INFO]tritonserver(409240), Memory: 1907 MiB, GPU Memory: 1275 MiB
[2022-09-22 20:46:22,609][PROCESS_MONITOR][INFO]tritonserver(409240), Memory: 1907 MiB, GPU Memory: 1275 MiB
[2022-09-22 20:46:23,623][PROCESS_MONITOR][INFO]tritonserver(409240), Memory: 2523 MiB, GPU Memory: 2041 MiB
[2022-09-22 20:46:24,638][PROCESS_MONITOR][INFO]tritonserver(409240), Memory: 2525 MiB, GPU Memory: 2041 MiB
[2022-09-22 20:46:25,651][PROCESS_MONITOR][INFO]tritonserver(409240), Memory: 2525 MiB, GPU Memory: 2041 MiB
[2022-09-22 20:46:26,666][PROCESS_MONITOR][INFO]tritonserver(409240), Memory: 2525 MiB, GPU Memory: 2041 MiB
