[2022-11-03 19:52:35,295][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2178 MiB, GPU Memory: 1415 MiB
[2022-11-03 19:52:36,309][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2178 MiB, GPU Memory: 1415 MiB
[2022-11-03 19:52:37,325][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2178 MiB, GPU Memory: 1415 MiB
[2022-11-03 19:52:38,337][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2178 MiB, GPU Memory: 1415 MiB
[2022-11-03 19:52:39,350][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2178 MiB, GPU Memory: 1415 MiB
[2022-11-03 19:52:40,364][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2795 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:52:41,378][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2806 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:52:42,394][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2806 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:52:43,408][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2810 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:52:44,423][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2814 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:52:45,438][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2826 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:52:46,452][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2826 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:52:47,466][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2826 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:52:48,481][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2826 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:52:49,495][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2826 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:52:50,510][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2826 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:52:51,524][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2826 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:52:52,537][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2827 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:52:53,551][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2827 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:52:54,565][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2827 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:52:55,578][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2827 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:52:56,592][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2827 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:52:57,607][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2830 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:52:58,621][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2831 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:52:59,635][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2831 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:00,649][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2831 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:01,661][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2831 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:02,674][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2831 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:03,689][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2831 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:04,702][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2831 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:05,715][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2831 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:06,729][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2831 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:07,743][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2835 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:08,757][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2835 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:09,771][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2835 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:10,786][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2839 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:11,800][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2839 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:12,818][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2839 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:13,833][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2839 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:14,847][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2839 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:15,862][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2839 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:16,876][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2839 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:17,890][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2839 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:18,910][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2839 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:19,923][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2839 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:20,937][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2839 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:21,950][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2839 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:22,963][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2839 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:23,977][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2843 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:24,990][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2843 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:26,005][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2843 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:27,019][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2843 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:28,033][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2843 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:29,046][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2843 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:30,060][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2843 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:31,074][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2843 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:32,089][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2843 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:33,103][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2843 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:34,115][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2843 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:35,130][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2843 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:36,144][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2843 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:37,159][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2843 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:38,173][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2843 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:39,188][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2843 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:40,202][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2847 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:41,215][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2847 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:42,230][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2847 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:43,243][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2847 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:44,257][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2847 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:45,270][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2847 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:46,285][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2847 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:47,300][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2847 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:48,313][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2847 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:49,328][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2850 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:50,342][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2850 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:51,355][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2850 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:52,369][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2851 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:53,383][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2851 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:54,397][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2851 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:55,411][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2851 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:56,431][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2851 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:57,446][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2851 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:58,460][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2851 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:53:59,474][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2851 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:54:00,487][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2851 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:54:01,502][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2851 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:54:02,517][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2851 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:54:03,531][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2851 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:54:04,545][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2851 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:54:05,560][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2851 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:54:06,574][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2851 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:54:07,589][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2851 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:54:08,604][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2851 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:54:09,618][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2851 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:54:10,631][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2851 MiB, GPU Memory: 1609 MiB
[2022-11-03 19:54:11,645][PROCESS_MONITOR][INFO]tritonserver(293147), Memory: 2851 MiB, GPU Memory: 1609 MiB
