[2022-11-02 16:41:04,874][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2183 MiB, GPU Memory: 1413 MiB
[2022-11-02 16:41:05,888][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2183 MiB, GPU Memory: 1413 MiB
[2022-11-02 16:41:06,904][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2183 MiB, GPU Memory: 1413 MiB
[2022-11-02 16:41:07,919][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2183 MiB, GPU Memory: 1413 MiB
[2022-11-02 16:41:08,934][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2183 MiB, GPU Memory: 1413 MiB
[2022-11-02 16:41:09,947][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2183 MiB, GPU Memory: 1413 MiB
[2022-11-02 16:41:10,962][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2183 MiB, GPU Memory: 1413 MiB
[2022-11-02 16:41:11,975][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2183 MiB, GPU Memory: 1413 MiB
[2022-11-02 16:41:12,988][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2183 MiB, GPU Memory: 1413 MiB
[2022-11-02 16:41:14,004][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2183 MiB, GPU Memory: 1413 MiB
[2022-11-02 16:41:15,018][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2183 MiB, GPU Memory: 1413 MiB
[2022-11-02 16:41:16,032][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2183 MiB, GPU Memory: 1413 MiB
[2022-11-02 16:41:17,046][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2183 MiB, GPU Memory: 1413 MiB
[2022-11-02 16:41:18,062][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2183 MiB, GPU Memory: 1413 MiB
[2022-11-02 16:41:19,076][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2183 MiB, GPU Memory: 1413 MiB
[2022-11-02 16:41:20,088][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2798 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:21,102][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2826 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:22,116][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2830 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:23,130][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2830 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:24,144][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2834 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:25,158][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2837 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:26,171][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2838 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:27,185][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2838 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:28,198][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2838 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:29,211][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2842 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:30,225][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2842 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:31,238][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2842 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:32,252][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2846 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:33,266][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2846 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:34,281][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2846 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:35,294][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2850 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:36,308][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2854 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:37,322][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2854 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:38,336][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2858 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:39,351][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2858 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:40,365][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2858 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:41,379][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2858 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:42,393][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2858 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:43,426][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2858 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:44,482][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2858 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:45,507][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2858 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:46,548][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2858 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:47,590][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2858 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:48,629][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2858 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:49,650][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2858 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:50,678][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2858 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:51,708][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2858 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:52,732][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2858 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:53,753][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2858 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:54,773][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2858 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:55,793][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2858 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:56,813][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2858 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:57,833][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2858 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:58,850][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2858 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:41:59,866][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2858 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:42:00,886][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2858 MiB, GPU Memory: 1609 MiB
[2022-11-02 16:42:01,902][PROCESS_MONITOR][INFO]tritonserver(39615), Memory: 2858 MiB, GPU Memory: 1609 MiB
