[2022-09-16 19:43:12,747][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2005 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:13,762][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2005 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:14,778][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2005 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:15,793][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2005 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:16,809][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2005 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:17,824][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2005 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:18,841][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2005 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:19,855][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2005 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:20,871][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2005 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:21,886][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2005 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:22,901][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2005 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:23,917][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2005 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:24,932][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2005 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:25,947][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2005 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:26,960][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2064 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:27,973][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2080 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:28,989][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2080 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:30,003][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2080 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:31,018][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2084 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:32,032][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2088 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:33,047][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2088 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:34,061][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2088 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:35,075][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2097 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:36,090][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2097 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:37,105][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2097 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:38,119][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2097 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:39,132][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2097 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:40,147][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2097 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:41,162][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2097 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:42,177][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2097 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:43,189][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2097 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:44,205][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2097 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:45,220][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2097 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:46,235][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2101 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:47,250][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2101 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:48,264][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2101 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:49,279][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2101 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:50,292][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2101 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:51,306][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2101 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:52,320][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2101 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:53,334][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2101 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:54,349][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2101 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:55,364][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2101 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:56,378][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2101 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:57,392][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2101 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:58,405][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2101 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:43:59,420][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2101 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:00,434][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2101 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:01,447][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2101 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:02,462][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2101 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:03,477][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2101 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:04,492][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2101 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:05,506][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2101 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:06,521][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2101 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:07,535][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2101 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:08,550][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2101 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:09,564][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2101 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:10,580][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2101 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:11,595][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2101 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:12,609][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2101 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:13,624][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2101 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:14,638][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2101 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:15,652][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2101 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:16,666][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2101 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:17,682][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2101 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:18,696][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2105 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:19,710][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2105 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:20,725][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2105 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:21,740][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2105 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:22,754][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2105 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:23,768][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2105 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:24,783][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2105 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:25,796][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2105 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:26,810][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2105 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:27,825][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2105 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:28,840][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2105 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:29,856][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2105 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:30,870][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2105 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:31,885][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2105 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:32,899][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2105 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:33,914][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2105 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:34,928][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2105 MiB, GPU Memory: 1061 MiB
[2022-09-16 19:44:35,942][PROCESS_MONITOR][INFO]tritonserver(136474), Memory: 2105 MiB, GPU Memory: 1061 MiB
