[2022-09-22 21:34:06,213][PROCESS_MONITOR][INFO]tritonserver(424043), Memory: 1801 MiB, GPU Memory: 795 MiB
[2022-09-22 21:34:07,228][PROCESS_MONITOR][INFO]tritonserver(424043), Memory: 1801 MiB, GPU Memory: 795 MiB
[2022-09-22 21:34:08,242][PROCESS_MONITOR][INFO]tritonserver(424043), Memory: 1801 MiB, GPU Memory: 795 MiB
[2022-09-22 21:34:09,257][PROCESS_MONITOR][INFO]tritonserver(424043), Memory: 1801 MiB, GPU Memory: 795 MiB
[2022-09-22 21:34:10,273][PROCESS_MONITOR][INFO]tritonserver(424043), Memory: 1801 MiB, GPU Memory: 795 MiB
[2022-09-22 21:34:11,288][PROCESS_MONITOR][INFO]tritonserver(424043), Memory: 1801 MiB, GPU Memory: 795 MiB
[2022-09-22 21:34:12,304][PROCESS_MONITOR][INFO]tritonserver(424043), Memory: 1801 MiB, GPU Memory: 795 MiB
[2022-09-22 21:34:13,321][PROCESS_MONITOR][INFO]tritonserver(424043), Memory: 1801 MiB, GPU Memory: 795 MiB
[2022-09-22 21:34:14,337][PROCESS_MONITOR][INFO]tritonserver(424043), Memory: 1801 MiB, GPU Memory: 795 MiB
[2022-09-22 21:34:15,352][PROCESS_MONITOR][INFO]tritonserver(424043), Memory: 1801 MiB, GPU Memory: 795 MiB
[2022-09-22 21:34:16,369][PROCESS_MONITOR][INFO]tritonserver(424043), Memory: 1801 MiB, GPU Memory: 795 MiB
[2022-09-22 21:34:17,384][PROCESS_MONITOR][INFO]tritonserver(424043), Memory: 1801 MiB, GPU Memory: 795 MiB
[2022-09-22 21:34:18,400][PROCESS_MONITOR][INFO]tritonserver(424043), Memory: 1801 MiB, GPU Memory: 795 MiB
[2022-09-22 21:34:19,417][PROCESS_MONITOR][INFO]tritonserver(424043), Memory: 1801 MiB, GPU Memory: 795 MiB
[2022-09-22 21:34:20,430][PROCESS_MONITOR][INFO]tritonserver(424043), Memory: 1801 MiB, GPU Memory: 795 MiB
[2022-09-22 21:34:21,442][PROCESS_MONITOR][INFO]tritonserver(424043), Memory: 2366 MiB, GPU Memory: 1045 MiB
[2022-09-22 21:34:22,457][PROCESS_MONITOR][INFO]tritonserver(424043), Memory: 2414 MiB, GPU Memory: 1041 MiB
