[2022-11-03 21:07:18,800][PROCESS_MONITOR][INFO]tritonserver(325609), Memory: 2148 MiB, GPU Memory: 1065 MiB
[2022-11-03 21:07:19,817][PROCESS_MONITOR][INFO]tritonserver(325609), Memory: 2148 MiB, GPU Memory: 1065 MiB
[2022-11-03 21:07:20,833][PROCESS_MONITOR][INFO]tritonserver(325609), Memory: 2148 MiB, GPU Memory: 1065 MiB
[2022-11-03 21:07:21,849][PROCESS_MONITOR][INFO]tritonserver(325609), Memory: 2148 MiB, GPU Memory: 1065 MiB
[2022-11-03 21:07:22,863][PROCESS_MONITOR][INFO]tritonserver(325609), Memory: 2148 MiB, GPU Memory: 1065 MiB
[2022-11-03 21:07:23,880][PROCESS_MONITOR][INFO]tritonserver(325609), Memory: 2148 MiB, GPU Memory: 1065 MiB
[2022-11-03 21:07:24,896][PROCESS_MONITOR][INFO]tritonserver(325609), Memory: 2148 MiB, GPU Memory: 1065 MiB
[2022-11-03 21:07:25,912][PROCESS_MONITOR][INFO]tritonserver(325609), Memory: 2148 MiB, GPU Memory: 1065 MiB
[2022-11-03 21:07:26,928][PROCESS_MONITOR][INFO]tritonserver(325609), Memory: 2148 MiB, GPU Memory: 1065 MiB
[2022-11-03 21:07:27,944][PROCESS_MONITOR][INFO]tritonserver(325609), Memory: 2148 MiB, GPU Memory: 1065 MiB
[2022-11-03 21:07:28,961][PROCESS_MONITOR][INFO]tritonserver(325609), Memory: 2148 MiB, GPU Memory: 1065 MiB
[2022-11-03 21:07:29,976][PROCESS_MONITOR][INFO]tritonserver(325609), Memory: 2148 MiB, GPU Memory: 1065 MiB
[2022-11-03 21:07:30,991][PROCESS_MONITOR][INFO]tritonserver(325609), Memory: 2148 MiB, GPU Memory: 1065 MiB
[2022-11-03 21:07:32,006][PROCESS_MONITOR][INFO]tritonserver(325609), Memory: 2148 MiB, GPU Memory: 1065 MiB
[2022-11-03 21:07:33,021][PROCESS_MONITOR][INFO]tritonserver(325609), Memory: 2148 MiB, GPU Memory: 1065 MiB
[2022-11-03 21:07:34,038][PROCESS_MONITOR][INFO]tritonserver(325609), Memory: 2148 MiB, GPU Memory: 1065 MiB
[2022-11-03 21:07:35,053][PROCESS_MONITOR][INFO]tritonserver(325609), Memory: 2148 MiB, GPU Memory: 1065 MiB
[2022-11-03 21:07:36,065][PROCESS_MONITOR][INFO]tritonserver(325609), Memory: 2643 MiB, GPU Memory: 1223 MiB
[2022-11-03 21:07:37,078][PROCESS_MONITOR][INFO]tritonserver(325609), Memory: 2750 MiB, GPU Memory: 1259 MiB
[2022-11-03 21:07:38,093][PROCESS_MONITOR][INFO]tritonserver(325609), Memory: 2752 MiB, GPU Memory: 1259 MiB
[2022-11-03 21:07:39,107][PROCESS_MONITOR][INFO]tritonserver(325609), Memory: 2752 MiB, GPU Memory: 1259 MiB
[2022-11-03 21:07:40,124][PROCESS_MONITOR][INFO]tritonserver(325609), Memory: 2754 MiB, GPU Memory: 1259 MiB
[2022-11-03 21:07:41,139][PROCESS_MONITOR][INFO]tritonserver(325609), Memory: 2754 MiB, GPU Memory: 1259 MiB
[2022-11-03 21:07:42,155][PROCESS_MONITOR][INFO]tritonserver(325609), Memory: 2754 MiB, GPU Memory: 1259 MiB
[2022-11-03 21:07:43,170][PROCESS_MONITOR][INFO]tritonserver(325609), Memory: 2755 MiB, GPU Memory: 1259 MiB
[2022-11-03 21:07:44,184][PROCESS_MONITOR][INFO]tritonserver(325609), Memory: 2755 MiB, GPU Memory: 1259 MiB
[2022-11-03 21:07:45,197][PROCESS_MONITOR][INFO]tritonserver(325609), Memory: 2755 MiB, GPU Memory: 1259 MiB
[2022-11-03 21:07:46,212][PROCESS_MONITOR][INFO]tritonserver(325609), Memory: 2756 MiB, GPU Memory: 1259 MiB
[2022-11-03 21:07:47,226][PROCESS_MONITOR][INFO]tritonserver(325609), Memory: 2756 MiB, GPU Memory: 1259 MiB
[2022-11-03 21:07:48,241][PROCESS_MONITOR][INFO]tritonserver(325609), Memory: 2756 MiB, GPU Memory: 1259 MiB
