[2022-09-16 14:18:48,523][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 1572 MiB, GPU Memory: 711 MiB
[2022-09-16 14:18:49,537][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 1572 MiB, GPU Memory: 711 MiB
[2022-09-16 14:18:50,551][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 1572 MiB, GPU Memory: 711 MiB
[2022-09-16 14:18:51,567][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 1572 MiB, GPU Memory: 711 MiB
[2022-09-16 14:18:52,582][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 1572 MiB, GPU Memory: 711 MiB
[2022-09-16 14:18:53,599][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 1572 MiB, GPU Memory: 711 MiB
[2022-09-16 14:18:54,613][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 1572 MiB, GPU Memory: 711 MiB
[2022-09-16 14:18:55,627][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 1572 MiB, GPU Memory: 711 MiB
[2022-09-16 14:18:56,642][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 1572 MiB, GPU Memory: 711 MiB
[2022-09-16 14:18:57,656][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 1572 MiB, GPU Memory: 711 MiB
[2022-09-16 14:18:58,672][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 1572 MiB, GPU Memory: 711 MiB
[2022-09-16 14:18:59,688][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 1572 MiB, GPU Memory: 711 MiB
[2022-09-16 14:19:00,703][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 1572 MiB, GPU Memory: 711 MiB
[2022-09-16 14:19:01,718][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 1572 MiB, GPU Memory: 711 MiB
[2022-09-16 14:19:02,732][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 1572 MiB, GPU Memory: 711 MiB
[2022-09-16 14:19:03,748][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 1572 MiB, GPU Memory: 711 MiB
[2022-09-16 14:19:04,764][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 1572 MiB, GPU Memory: 711 MiB
[2022-09-16 14:19:05,778][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 1572 MiB, GPU Memory: 711 MiB
[2022-09-16 14:19:06,792][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 1572 MiB, GPU Memory: 711 MiB
[2022-09-16 14:19:07,806][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 1572 MiB, GPU Memory: 711 MiB
[2022-09-16 14:19:08,820][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 1572 MiB, GPU Memory: 711 MiB
[2022-09-16 14:19:09,835][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 1572 MiB, GPU Memory: 711 MiB
[2022-09-16 14:19:10,851][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 1572 MiB, GPU Memory: 711 MiB
[2022-09-16 14:19:11,867][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 1572 MiB, GPU Memory: 711 MiB
[2022-09-16 14:19:12,883][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 1572 MiB, GPU Memory: 711 MiB
[2022-09-16 14:19:13,897][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 1572 MiB, GPU Memory: 711 MiB
[2022-09-16 14:19:14,911][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 1572 MiB, GPU Memory: 711 MiB
[2022-09-16 14:19:15,925][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 1572 MiB, GPU Memory: 711 MiB
[2022-09-16 14:19:16,939][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 1572 MiB, GPU Memory: 711 MiB
[2022-09-16 14:19:17,953][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 2588 MiB, GPU Memory: 1075 MiB
[2022-09-16 14:19:18,966][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 3372 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:19:19,979][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 3372 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:19:20,995][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 3373 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:19:22,010][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 3373 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:19:23,025][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 3373 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:19:24,041][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 3373 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:19:25,056][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 3373 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:19:26,072][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 3449 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:19:27,087][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 3465 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:19:28,102][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 3466 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:19:29,117][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 3468 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:19:30,129][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 3469 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:19:31,145][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 3469 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:19:32,159][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 3469 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:19:33,173][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 3470 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:19:34,188][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 3470 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:19:35,202][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 3470 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:19:36,215][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 3471 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:19:37,228][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 3471 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:19:38,242][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 3471 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:19:39,256][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 3471 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:19:40,271][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 3471 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:19:41,286][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 3471 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:19:42,299][PROCESS_MONITOR][INFO]tritonserver(29421), Memory: 3471 MiB, GPU Memory: 1481 MiB
