[2022-09-16 14:26:18,598][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 1577 MiB, GPU Memory: 711 MiB
[2022-09-16 14:26:19,615][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 1577 MiB, GPU Memory: 711 MiB
[2022-09-16 14:26:20,630][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 1577 MiB, GPU Memory: 711 MiB
[2022-09-16 14:26:21,647][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 1577 MiB, GPU Memory: 711 MiB
[2022-09-16 14:26:22,663][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 1577 MiB, GPU Memory: 711 MiB
[2022-09-16 14:26:23,678][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 1577 MiB, GPU Memory: 711 MiB
[2022-09-16 14:26:24,694][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 1577 MiB, GPU Memory: 711 MiB
[2022-09-16 14:26:25,709][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 1577 MiB, GPU Memory: 711 MiB
[2022-09-16 14:26:26,724][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 1577 MiB, GPU Memory: 711 MiB
[2022-09-16 14:26:27,740][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 1577 MiB, GPU Memory: 711 MiB
[2022-09-16 14:26:28,756][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 1577 MiB, GPU Memory: 711 MiB
[2022-09-16 14:26:29,772][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 1577 MiB, GPU Memory: 711 MiB
[2022-09-16 14:26:30,786][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 1577 MiB, GPU Memory: 711 MiB
[2022-09-16 14:26:31,803][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 1577 MiB, GPU Memory: 711 MiB
[2022-09-16 14:26:32,818][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 1577 MiB, GPU Memory: 711 MiB
[2022-09-16 14:26:33,833][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 1577 MiB, GPU Memory: 711 MiB
[2022-09-16 14:26:34,849][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 1577 MiB, GPU Memory: 711 MiB
[2022-09-16 14:26:35,865][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 1577 MiB, GPU Memory: 711 MiB
[2022-09-16 14:26:36,881][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 1577 MiB, GPU Memory: 711 MiB
[2022-09-16 14:26:37,897][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 1577 MiB, GPU Memory: 711 MiB
[2022-09-16 14:26:38,912][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 1577 MiB, GPU Memory: 711 MiB
[2022-09-16 14:26:39,926][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 1577 MiB, GPU Memory: 711 MiB
[2022-09-16 14:26:40,942][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 1577 MiB, GPU Memory: 711 MiB
[2022-09-16 14:26:41,956][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 1577 MiB, GPU Memory: 711 MiB
[2022-09-16 14:26:42,969][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 1577 MiB, GPU Memory: 711 MiB
[2022-09-16 14:26:43,982][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 1984 MiB, GPU Memory: 859 MiB
[2022-09-16 14:26:44,996][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 3383 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:26:46,008][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 3383 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:26:47,022][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 3383 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:26:48,037][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 3384 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:26:49,053][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 3384 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:26:50,069][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 3384 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:26:51,085][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 3384 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:26:52,098][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 3453 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:26:53,114][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 3460 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:26:54,128][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 3460 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:26:55,141][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 3460 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:26:56,155][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 3460 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:26:57,170][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 3460 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:26:58,185][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 3460 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:26:59,198][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 3460 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:27:00,213][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 3460 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:27:01,228][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 3460 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:27:02,242][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 3460 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:27:03,257][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 3460 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:27:04,269][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 3460 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:27:05,284][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 3460 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:27:06,299][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 3460 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:27:07,313][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 3460 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:27:08,326][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 3460 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:27:09,340][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 3460 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:27:10,355][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 3460 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:27:11,368][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 3460 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:27:12,383][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 3460 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:27:13,398][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 3460 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:27:14,412][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 3460 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:27:15,426][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 3460 MiB, GPU Memory: 1481 MiB
[2022-09-16 14:27:16,441][PROCESS_MONITOR][INFO]tritonserver(32660), Memory: 3460 MiB, GPU Memory: 1481 MiB
