[2022-11-02 17:13:31,862][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2156 MiB, GPU Memory: 1065 MiB
[2022-11-02 17:13:32,877][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2156 MiB, GPU Memory: 1065 MiB
[2022-11-02 17:13:33,893][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2156 MiB, GPU Memory: 1065 MiB
[2022-11-02 17:13:34,908][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2156 MiB, GPU Memory: 1065 MiB
[2022-11-02 17:13:35,924][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2156 MiB, GPU Memory: 1065 MiB
[2022-11-02 17:13:36,939][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2156 MiB, GPU Memory: 1065 MiB
[2022-11-02 17:13:37,954][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2156 MiB, GPU Memory: 1065 MiB
[2022-11-02 17:13:38,969][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2156 MiB, GPU Memory: 1065 MiB
[2022-11-02 17:13:39,985][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2156 MiB, GPU Memory: 1065 MiB
[2022-11-02 17:13:41,000][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2156 MiB, GPU Memory: 1065 MiB
[2022-11-02 17:13:42,015][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2156 MiB, GPU Memory: 1065 MiB
[2022-11-02 17:13:43,032][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2156 MiB, GPU Memory: 1065 MiB
[2022-11-02 17:13:44,048][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2156 MiB, GPU Memory: 1065 MiB
[2022-11-02 17:13:45,060][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2156 MiB, GPU Memory: 1065 MiB
[2022-11-02 17:13:46,073][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2742 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:13:47,087][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2751 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:13:48,101][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2752 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:13:49,115][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2753 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:13:50,130][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2754 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:13:51,145][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2754 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:13:52,160][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2754 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:13:53,175][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2754 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:13:54,188][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2754 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:13:55,202][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2754 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:13:56,216][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2754 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:13:57,231][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2755 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:13:58,246][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2755 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:13:59,261][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2755 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:00,276][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2755 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:01,290][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2756 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:02,305][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2756 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:03,320][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2756 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:04,334][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2756 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:05,349][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2756 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:06,364][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2756 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:07,379][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2756 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:08,393][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2756 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:09,408][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2757 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:10,423][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2757 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:11,438][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2757 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:12,452][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2757 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:13,468][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2757 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:14,483][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2757 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:15,999][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2757 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:17,014][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2757 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:18,029][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2757 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:19,044][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2758 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:20,059][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2758 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:21,074][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2758 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:22,088][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2758 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:23,103][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2758 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:24,117][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2758 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:25,133][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2758 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:26,149][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2758 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:27,165][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2758 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:28,179][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2758 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:29,194][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2758 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:30,209][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2758 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:31,225][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2758 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:32,240][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2758 MiB, GPU Memory: 1259 MiB
[2022-11-02 17:14:33,255][PROCESS_MONITOR][INFO]tritonserver(50357), Memory: 2759 MiB, GPU Memory: 1259 MiB
