[2022-09-16 19:28:38,745][PROCESS_MONITOR][INFO]tritonserver(127723), Memory: 969 MiB, GPU Memory: 515 MiB
[2022-09-16 19:28:39,759][PROCESS_MONITOR][INFO]tritonserver(127723), Memory: 969 MiB, GPU Memory: 515 MiB
[2022-09-16 19:28:40,774][PROCESS_MONITOR][INFO]tritonserver(127723), Memory: 969 MiB, GPU Memory: 515 MiB
[2022-09-16 19:28:41,789][PROCESS_MONITOR][INFO]tritonserver(127723), Memory: 969 MiB, GPU Memory: 515 MiB
[2022-09-16 19:28:42,804][PROCESS_MONITOR][INFO]tritonserver(127723), Memory: 969 MiB, GPU Memory: 515 MiB
[2022-09-16 19:28:43,819][PROCESS_MONITOR][INFO]tritonserver(127723), Memory: 969 MiB, GPU Memory: 515 MiB
[2022-09-16 19:28:44,834][PROCESS_MONITOR][INFO]tritonserver(127723), Memory: 969 MiB, GPU Memory: 515 MiB
[2022-09-16 19:28:45,851][PROCESS_MONITOR][INFO]tritonserver(127723), Memory: 969 MiB, GPU Memory: 515 MiB
[2022-09-16 19:28:46,867][PROCESS_MONITOR][INFO]tritonserver(127723), Memory: 969 MiB, GPU Memory: 515 MiB
[2022-09-16 19:28:47,882][PROCESS_MONITOR][INFO]tritonserver(127723), Memory: 969 MiB, GPU Memory: 515 MiB
[2022-09-16 19:28:48,897][PROCESS_MONITOR][INFO]tritonserver(127723), Memory: 969 MiB, GPU Memory: 515 MiB
[2022-09-16 19:28:49,912][PROCESS_MONITOR][INFO]tritonserver(127723), Memory: 969 MiB, GPU Memory: 515 MiB
[2022-09-16 19:28:50,927][PROCESS_MONITOR][INFO]tritonserver(127723), Memory: 969 MiB, GPU Memory: 515 MiB
[2022-09-16 19:28:51,943][PROCESS_MONITOR][INFO]tritonserver(127723), Memory: 969 MiB, GPU Memory: 515 MiB
[2022-09-16 19:28:52,959][PROCESS_MONITOR][INFO]tritonserver(127723), Memory: 969 MiB, GPU Memory: 515 MiB
[2022-09-16 19:28:53,975][PROCESS_MONITOR][INFO]tritonserver(127723), Memory: 969 MiB, GPU Memory: 515 MiB
[2022-09-16 19:28:54,991][PROCESS_MONITOR][INFO]tritonserver(127723), Memory: 969 MiB, GPU Memory: 515 MiB
[2022-09-16 19:28:56,007][PROCESS_MONITOR][INFO]tritonserver(127723), Memory: 969 MiB, GPU Memory: 515 MiB
[2022-09-16 19:28:57,023][PROCESS_MONITOR][INFO]tritonserver(127723), Memory: 969 MiB, GPU Memory: 515 MiB
[2022-09-16 19:28:58,037][PROCESS_MONITOR][INFO]tritonserver(127723), Memory: 969 MiB, GPU Memory: 515 MiB
[2022-09-16 19:28:59,050][PROCESS_MONITOR][INFO]tritonserver(127723), Memory: 982 MiB, GPU Memory: 515 MiB
[2022-09-16 19:29:00,064][PROCESS_MONITOR][INFO]tritonserver(127723), Memory: 985 MiB, GPU Memory: 515 MiB
[2022-09-16 19:29:01,077][PROCESS_MONITOR][INFO]tritonserver(127723), Memory: 985 MiB, GPU Memory: 515 MiB
[2022-09-16 19:29:02,093][PROCESS_MONITOR][INFO]tritonserver(127723), Memory: 985 MiB, GPU Memory: 515 MiB
[2022-09-16 19:29:03,107][PROCESS_MONITOR][INFO]tritonserver(127723), Memory: 986 MiB, GPU Memory: 515 MiB
[2022-09-16 19:29:04,123][PROCESS_MONITOR][INFO]tritonserver(127723), Memory: 986 MiB, GPU Memory: 515 MiB
[2022-09-16 19:29:05,137][PROCESS_MONITOR][INFO]tritonserver(127723), Memory: 986 MiB, GPU Memory: 515 MiB
[2022-09-16 19:29:06,151][PROCESS_MONITOR][INFO]tritonserver(127723), Memory: 987 MiB, GPU Memory: 515 MiB
[2022-09-16 19:29:07,165][PROCESS_MONITOR][INFO]tritonserver(127723), Memory: 987 MiB, GPU Memory: 515 MiB
[2022-09-16 19:29:08,180][PROCESS_MONITOR][INFO]tritonserver(127723), Memory: 987 MiB, GPU Memory: 515 MiB
