[2022-09-18 20:19:44,779][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 970 MiB, GPU Memory: 521 MiB
[2022-09-18 20:19:45,795][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 970 MiB, GPU Memory: 521 MiB
[2022-09-18 20:19:46,811][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 970 MiB, GPU Memory: 521 MiB
[2022-09-18 20:19:47,827][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 970 MiB, GPU Memory: 521 MiB
[2022-09-18 20:19:48,843][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 970 MiB, GPU Memory: 521 MiB
[2022-09-18 20:19:49,856][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 970 MiB, GPU Memory: 521 MiB
[2022-09-18 20:19:50,869][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 985 MiB, GPU Memory: 521 MiB
[2022-09-18 20:19:51,881][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 986 MiB, GPU Memory: 521 MiB
[2022-09-18 20:19:52,896][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 986 MiB, GPU Memory: 521 MiB
[2022-09-18 20:19:53,911][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 986 MiB, GPU Memory: 521 MiB
[2022-09-18 20:19:54,926][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 987 MiB, GPU Memory: 521 MiB
[2022-09-18 20:19:55,941][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 988 MiB, GPU Memory: 521 MiB
[2022-09-18 20:19:56,954][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 988 MiB, GPU Memory: 521 MiB
[2022-09-18 20:19:57,969][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 988 MiB, GPU Memory: 521 MiB
[2022-09-18 20:19:58,984][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 989 MiB, GPU Memory: 521 MiB
[2022-09-18 20:19:59,998][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 989 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:01,012][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 989 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:02,027][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 989 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:03,041][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 989 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:04,056][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 990 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:05,070][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 990 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:06,085][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 991 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:07,100][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 991 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:08,114][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 991 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:09,130][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 991 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:10,145][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 992 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:11,160][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 992 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:12,175][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 992 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:13,190][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 992 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:14,205][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:15,220][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:16,235][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:17,250][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:18,265][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:19,280][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:20,295][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:21,310][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:22,324][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:23,340][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:24,354][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:25,369][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:26,384][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:27,399][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:28,413][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:29,426][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:30,441][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:31,456][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:32,471][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:33,486][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:34,501][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:35,517][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:36,532][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:37,548][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:38,562][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:39,577][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:40,592][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:41,606][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:42,621][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:43,636][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:44,650][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:45,665][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:46,680][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:47,694][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:48,709][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:49,724][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:50,738][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:51,753][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 993 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:52,768][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 994 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:53,783][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 994 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:54,797][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 994 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:55,812][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 994 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:56,826][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 994 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:57,839][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 994 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:58,854][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 994 MiB, GPU Memory: 521 MiB
[2022-09-18 20:20:59,869][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 994 MiB, GPU Memory: 521 MiB
[2022-09-18 20:21:00,882][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 994 MiB, GPU Memory: 521 MiB
[2022-09-18 20:21:01,896][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 994 MiB, GPU Memory: 521 MiB
[2022-09-18 20:21:02,910][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 994 MiB, GPU Memory: 521 MiB
[2022-09-18 20:21:03,925][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 994 MiB, GPU Memory: 521 MiB
[2022-09-18 20:21:04,940][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 994 MiB, GPU Memory: 521 MiB
[2022-09-18 20:21:05,954][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 994 MiB, GPU Memory: 521 MiB
[2022-09-18 20:21:06,968][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 994 MiB, GPU Memory: 521 MiB
[2022-09-18 20:21:07,982][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 994 MiB, GPU Memory: 521 MiB
[2022-09-18 20:21:08,996][PROCESS_MONITOR][INFO]tritonserver(178374), Memory: 994 MiB, GPU Memory: 521 MiB
