[2022-09-18 20:24:53,431][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 970 MiB, GPU Memory: 515 MiB
[2022-09-18 20:24:54,447][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 970 MiB, GPU Memory: 515 MiB
[2022-09-18 20:24:55,463][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 970 MiB, GPU Memory: 515 MiB
[2022-09-18 20:24:56,479][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 970 MiB, GPU Memory: 515 MiB
[2022-09-18 20:24:57,495][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 970 MiB, GPU Memory: 515 MiB
[2022-09-18 20:24:58,511][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 970 MiB, GPU Memory: 515 MiB
[2022-09-18 20:24:59,526][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 970 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:00,542][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 970 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:01,558][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 970 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:02,574][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 970 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:03,591][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 970 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:04,606][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 970 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:05,623][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 970 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:06,639][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 970 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:07,655][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 970 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:08,671][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 970 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:09,687][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 970 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:10,701][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 970 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:11,717][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 970 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:12,730][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 970 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:13,744][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 985 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:14,758][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 986 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:15,773][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 987 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:16,788][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 988 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:17,803][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 988 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:18,818][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 989 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:19,833][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 989 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:20,848][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 989 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:21,861][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 989 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:22,876][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 989 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:23,891][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 989 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:24,906][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 989 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:25,922][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 990 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:26,937][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 990 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:27,951][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 990 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:28,966][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 990 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:29,980][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:30,995][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:32,010][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:33,025][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:34,040][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:35,056][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:36,070][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:37,085][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:38,100][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:39,115][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:40,130][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:41,145][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:42,160][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:43,175][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:44,189][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:45,204][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:46,220][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:47,235][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:48,249][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:49,264][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:50,279][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:51,294][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:52,308][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:53,324][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:54,339][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:55,354][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:56,369][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:57,384][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:58,399][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:25:59,414][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:26:00,429][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:26:01,444][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:26:02,458][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:26:03,473][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:26:04,487][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:26:05,502][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:26:06,516][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
[2022-09-18 20:26:07,532][PROCESS_MONITOR][INFO]tritonserver(180194), Memory: 991 MiB, GPU Memory: 515 MiB
