[2022-09-22 20:39:35,110][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 1829 MiB, GPU Memory: 901 MiB
[2022-09-22 20:39:36,126][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 1829 MiB, GPU Memory: 901 MiB
[2022-09-22 20:39:37,140][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 1829 MiB, GPU Memory: 901 MiB
[2022-09-22 20:39:38,156][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 1829 MiB, GPU Memory: 901 MiB
[2022-09-22 20:39:39,172][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 1829 MiB, GPU Memory: 901 MiB
[2022-09-22 20:39:40,188][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 1829 MiB, GPU Memory: 901 MiB
[2022-09-22 20:39:41,204][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 1829 MiB, GPU Memory: 901 MiB
[2022-09-22 20:39:42,220][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 1829 MiB, GPU Memory: 901 MiB
[2022-09-22 20:39:43,234][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 1829 MiB, GPU Memory: 901 MiB
[2022-09-22 20:39:44,247][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 2201 MiB, GPU Memory: 1085 MiB
[2022-09-22 20:39:45,261][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 2426 MiB, GPU Memory: 1149 MiB
[2022-09-22 20:39:46,273][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 2426 MiB, GPU Memory: 1149 MiB
[2022-09-22 20:39:47,289][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 2427 MiB, GPU Memory: 1149 MiB
[2022-09-22 20:39:48,303][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 2427 MiB, GPU Memory: 1149 MiB
[2022-09-22 20:39:49,317][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 2427 MiB, GPU Memory: 1149 MiB
[2022-09-22 20:39:50,333][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 2428 MiB, GPU Memory: 1149 MiB
[2022-09-22 20:39:51,349][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 2428 MiB, GPU Memory: 1149 MiB
[2022-09-22 20:39:52,365][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 2429 MiB, GPU Memory: 1149 MiB
[2022-09-22 20:39:53,378][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 2429 MiB, GPU Memory: 1149 MiB
[2022-09-22 20:39:54,393][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 2429 MiB, GPU Memory: 1149 MiB
[2022-09-22 20:39:55,409][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 2429 MiB, GPU Memory: 1149 MiB
[2022-09-22 20:39:56,422][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 2429 MiB, GPU Memory: 1149 MiB
[2022-09-22 20:39:57,437][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 2429 MiB, GPU Memory: 1149 MiB
[2022-09-22 20:39:58,453][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 2430 MiB, GPU Memory: 1149 MiB
[2022-09-22 20:39:59,468][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 2430 MiB, GPU Memory: 1149 MiB
[2022-09-22 20:40:00,484][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 2430 MiB, GPU Memory: 1149 MiB
[2022-09-22 20:40:01,500][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 2430 MiB, GPU Memory: 1149 MiB
[2022-09-22 20:40:02,515][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 2430 MiB, GPU Memory: 1149 MiB
[2022-09-22 20:40:03,530][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 2430 MiB, GPU Memory: 1149 MiB
[2022-09-22 20:40:04,546][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 2430 MiB, GPU Memory: 1149 MiB
[2022-09-22 20:40:05,561][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 2430 MiB, GPU Memory: 1149 MiB
[2022-09-22 20:40:06,574][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 2430 MiB, GPU Memory: 1149 MiB
[2022-09-22 20:40:07,589][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 2430 MiB, GPU Memory: 1149 MiB
[2022-09-22 20:40:08,604][PROCESS_MONITOR][INFO]tritonserver(405729), Memory: 2430 MiB, GPU Memory: 1149 MiB
