[2022-11-06 16:12:33,477][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2144 MiB, GPU Memory: 1037 MiB
[2022-11-06 16:12:34,493][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2144 MiB, GPU Memory: 1037 MiB
[2022-11-06 16:12:35,507][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2144 MiB, GPU Memory: 1037 MiB
[2022-11-06 16:12:36,523][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2144 MiB, GPU Memory: 1037 MiB
[2022-11-06 16:12:37,537][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2144 MiB, GPU Memory: 1037 MiB
[2022-11-06 16:12:38,552][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2144 MiB, GPU Memory: 1037 MiB
[2022-11-06 16:12:39,568][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2144 MiB, GPU Memory: 1037 MiB
[2022-11-06 16:12:40,584][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2144 MiB, GPU Memory: 1037 MiB
[2022-11-06 16:12:41,600][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2144 MiB, GPU Memory: 1037 MiB
[2022-11-06 16:12:42,616][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2144 MiB, GPU Memory: 1037 MiB
[2022-11-06 16:12:43,632][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2144 MiB, GPU Memory: 1037 MiB
[2022-11-06 16:12:44,647][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2144 MiB, GPU Memory: 1037 MiB
[2022-11-06 16:12:45,659][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2437 MiB, GPU Memory: 1125 MiB
[2022-11-06 16:12:46,673][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2729 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:12:47,685][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2730 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:12:48,700][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2731 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:12:49,715][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2731 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:12:50,730][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2732 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:12:51,743][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2732 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:12:52,757][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2732 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:12:53,772][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2732 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:12:54,786][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2732 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:12:55,801][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2732 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:12:56,817][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2733 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:12:57,832][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2733 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:12:58,847][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2733 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:12:59,862][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2733 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:00,876][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2733 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:01,891][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2733 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:02,906][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2733 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:03,920][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2733 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:04,935][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2733 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:05,950][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2735 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:06,964][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2735 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:07,978][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2735 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:08,994][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2735 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:10,008][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2735 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:11,025][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2735 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:12,039][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2735 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:13,054][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2735 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:14,068][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2735 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:15,082][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2735 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:16,097][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2735 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:17,111][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2735 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:18,126][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2735 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:19,141][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2735 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:20,156][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2735 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:21,171][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2735 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:22,186][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2735 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:23,200][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2735 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:24,215][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2735 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:25,229][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2735 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:26,244][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2735 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:27,259][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2735 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:28,271][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2735 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:29,286][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2735 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:30,300][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:31,315][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:32,330][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:33,343][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:34,357][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:35,372][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:36,389][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:37,404][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:38,418][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:39,434][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:40,448][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:41,463][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:42,478][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:43,492][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:44,507][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:45,522][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:46,537][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:47,552][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:48,566][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:49,581][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:50,596][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:51,610][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:52,625][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:53,639][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:54,654][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:55,669][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:56,683][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:57,698][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:58,712][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:13:59,728][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:14:00,742][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:14:01,756][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:14:02,771][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
[2022-11-06 16:14:03,786][PROCESS_MONITOR][INFO]tritonserver(484312), Memory: 2736 MiB, GPU Memory: 1231 MiB
