[2022-09-16 13:46:13,564][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 1590 MiB, GPU Memory: 791 MiB
[2022-09-16 13:46:14,580][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 1590 MiB, GPU Memory: 791 MiB
[2022-09-16 13:46:15,593][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 1590 MiB, GPU Memory: 791 MiB
[2022-09-16 13:46:16,609][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 1590 MiB, GPU Memory: 791 MiB
[2022-09-16 13:46:17,625][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 1590 MiB, GPU Memory: 791 MiB
[2022-09-16 13:46:18,641][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 1590 MiB, GPU Memory: 791 MiB
[2022-09-16 13:46:19,657][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 1590 MiB, GPU Memory: 791 MiB
[2022-09-16 13:46:20,674][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 1590 MiB, GPU Memory: 791 MiB
[2022-09-16 13:46:21,689][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 1590 MiB, GPU Memory: 791 MiB
[2022-09-16 13:46:22,705][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 1590 MiB, GPU Memory: 791 MiB
[2022-09-16 13:46:23,721][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 1590 MiB, GPU Memory: 791 MiB
[2022-09-16 13:46:24,737][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 1590 MiB, GPU Memory: 791 MiB
[2022-09-16 13:46:25,753][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 1590 MiB, GPU Memory: 791 MiB
[2022-09-16 13:46:26,769][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 1590 MiB, GPU Memory: 791 MiB
[2022-09-16 13:46:27,783][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 1590 MiB, GPU Memory: 791 MiB
[2022-09-16 13:46:28,798][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 1590 MiB, GPU Memory: 791 MiB
[2022-09-16 13:46:29,813][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 1590 MiB, GPU Memory: 791 MiB
[2022-09-16 13:46:30,828][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 1590 MiB, GPU Memory: 791 MiB
[2022-09-16 13:46:31,843][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 1590 MiB, GPU Memory: 791 MiB
[2022-09-16 13:46:32,857][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 1590 MiB, GPU Memory: 791 MiB
[2022-09-16 13:46:33,869][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 1590 MiB, GPU Memory: 791 MiB
[2022-09-16 13:46:34,886][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 2943 MiB, GPU Memory: 1277 MiB
[2022-09-16 13:46:35,902][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3363 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:46:36,917][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3437 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:46:37,932][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3448 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:46:38,946][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3458 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:46:39,962][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3471 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:46:40,975][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3473 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:46:41,990][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3473 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:46:43,005][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3473 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:46:44,020][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3473 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:46:45,036][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3473 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:46:46,050][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3473 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:46:47,065][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3475 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:46:48,081][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3475 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:46:49,095][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3475 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:46:50,109][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3475 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:46:51,124][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3475 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:46:52,138][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3475 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:46:53,153][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3475 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:46:54,166][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3475 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:46:55,181][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3475 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:46:56,195][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3475 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:46:57,210][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3475 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:46:58,224][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3475 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:46:59,238][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3475 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:47:00,253][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3476 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:47:01,267][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3476 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:47:02,282][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3476 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:47:03,297][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3476 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:47:04,312][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3476 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:47:05,326][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3476 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:47:06,340][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3476 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:47:07,354][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3476 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:47:08,369][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3476 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:47:09,384][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3476 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:47:10,399][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3476 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:47:11,413][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3476 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:47:12,428][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3476 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:47:13,442][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3476 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:47:14,456][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3476 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:47:15,469][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3476 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:47:16,484][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3476 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:47:17,505][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3476 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:47:18,520][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3476 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:47:19,534][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3476 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:47:20,549][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3476 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:47:21,563][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3478 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:47:22,576][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3478 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:47:23,590][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3478 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:47:24,605][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3478 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:47:25,620][PROCESS_MONITOR][INFO]tritonserver(21649), Memory: 3478 MiB, GPU Memory: 1435 MiB
