[2022-09-16 13:38:55,082][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 1624 MiB, GPU Memory: 791 MiB
[2022-09-16 13:38:56,097][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 1624 MiB, GPU Memory: 791 MiB
[2022-09-16 13:38:57,113][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 1624 MiB, GPU Memory: 791 MiB
[2022-09-16 13:38:58,129][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 1624 MiB, GPU Memory: 791 MiB
[2022-09-16 13:38:59,145][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 1624 MiB, GPU Memory: 791 MiB
[2022-09-16 13:39:00,161][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 1624 MiB, GPU Memory: 791 MiB
[2022-09-16 13:39:01,177][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 1624 MiB, GPU Memory: 791 MiB
[2022-09-16 13:39:02,193][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 1624 MiB, GPU Memory: 791 MiB
[2022-09-16 13:39:03,206][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 1624 MiB, GPU Memory: 791 MiB
[2022-09-16 13:39:04,218][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 1624 MiB, GPU Memory: 791 MiB
[2022-09-16 13:39:05,232][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 2389 MiB, GPU Memory: 1073 MiB
[2022-09-16 13:39:06,245][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3388 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:07,260][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3443 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:08,274][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3468 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:09,287][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3477 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:10,302][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:11,318][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:12,331][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:13,345][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:14,360][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:15,373][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:16,387][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:17,401][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:18,415][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:19,429][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:20,444][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:21,457][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:22,471][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:23,483][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:24,497][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:25,511][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:26,524][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:27,539][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:28,553][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:29,567][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:30,581][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:31,595][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:32,607][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:33,622][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:34,634][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:35,646][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:36,660][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:37,673][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:38,687][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:39,701][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:40,713][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:41,727][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:42,741][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:43,755][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:44,769][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:45,783][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:46,798][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:47,812][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:48,824][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
[2022-09-16 13:39:49,837][PROCESS_MONITOR][INFO]tritonserver(18346), Memory: 3483 MiB, GPU Memory: 1435 MiB
