[2022-11-02 16:34:05,937][PROCESS_MONITOR][INFO]tritonserver(36569), Memory: 2139 MiB, GPU Memory: 1037 MiB
[2022-11-02 16:34:06,953][PROCESS_MONITOR][INFO]tritonserver(36569), Memory: 2139 MiB, GPU Memory: 1037 MiB
[2022-11-02 16:34:07,966][PROCESS_MONITOR][INFO]tritonserver(36569), Memory: 2139 MiB, GPU Memory: 1037 MiB
[2022-11-02 16:34:08,981][PROCESS_MONITOR][INFO]tritonserver(36569), Memory: 2139 MiB, GPU Memory: 1037 MiB
[2022-11-02 16:34:09,996][PROCESS_MONITOR][INFO]tritonserver(36569), Memory: 2139 MiB, GPU Memory: 1037 MiB
[2022-11-02 16:34:11,010][PROCESS_MONITOR][INFO]tritonserver(36569), Memory: 2139 MiB, GPU Memory: 1037 MiB
[2022-11-02 16:34:12,025][PROCESS_MONITOR][INFO]tritonserver(36569), Memory: 2139 MiB, GPU Memory: 1037 MiB
[2022-11-02 16:34:13,040][PROCESS_MONITOR][INFO]tritonserver(36569), Memory: 2139 MiB, GPU Memory: 1037 MiB
[2022-11-02 16:34:14,054][PROCESS_MONITOR][INFO]tritonserver(36569), Memory: 2139 MiB, GPU Memory: 1037 MiB
[2022-11-02 16:34:15,069][PROCESS_MONITOR][INFO]tritonserver(36569), Memory: 2139 MiB, GPU Memory: 1037 MiB
[2022-11-02 16:34:16,084][PROCESS_MONITOR][INFO]tritonserver(36569), Memory: 2139 MiB, GPU Memory: 1037 MiB
[2022-11-02 16:34:17,099][PROCESS_MONITOR][INFO]tritonserver(36569), Memory: 2139 MiB, GPU Memory: 1037 MiB
[2022-11-02 16:34:18,113][PROCESS_MONITOR][INFO]tritonserver(36569), Memory: 2139 MiB, GPU Memory: 1037 MiB
[2022-11-02 16:34:19,126][PROCESS_MONITOR][INFO]tritonserver(36569), Memory: 2139 MiB, GPU Memory: 1037 MiB
[2022-11-02 16:34:20,140][PROCESS_MONITOR][INFO]tritonserver(36569), Memory: 2139 MiB, GPU Memory: 1037 MiB
[2022-11-02 16:34:21,155][PROCESS_MONITOR][INFO]tritonserver(36569), Memory: 2139 MiB, GPU Memory: 1037 MiB
[2022-11-02 16:34:22,171][PROCESS_MONITOR][INFO]tritonserver(36569), Memory: 2139 MiB, GPU Memory: 1037 MiB
[2022-11-02 16:34:23,185][PROCESS_MONITOR][INFO]tritonserver(36569), Memory: 2139 MiB, GPU Memory: 1037 MiB
[2022-11-02 16:34:24,200][PROCESS_MONITOR][INFO]tritonserver(36569), Memory: 2139 MiB, GPU Memory: 1037 MiB
[2022-11-02 16:34:25,215][PROCESS_MONITOR][INFO]tritonserver(36569), Memory: 2139 MiB, GPU Memory: 1037 MiB
[2022-11-02 16:34:26,230][PROCESS_MONITOR][INFO]tritonserver(36569), Memory: 2139 MiB, GPU Memory: 1037 MiB
[2022-11-02 16:34:27,245][PROCESS_MONITOR][INFO]tritonserver(36569), Memory: 2139 MiB, GPU Memory: 1037 MiB
