[2022-09-16 18:36:21,821][PROCESS_MONITOR][INFO]tritonserver(105329), Memory: 973 MiB, GPU Memory: 529 MiB
[2022-09-16 18:36:22,837][PROCESS_MONITOR][INFO]tritonserver(105329), Memory: 973 MiB, GPU Memory: 529 MiB
[2022-09-16 18:36:23,853][PROCESS_MONITOR][INFO]tritonserver(105329), Memory: 973 MiB, GPU Memory: 529 MiB
[2022-09-16 18:36:24,869][PROCESS_MONITOR][INFO]tritonserver(105329), Memory: 973 MiB, GPU Memory: 529 MiB
[2022-09-16 18:36:25,884][PROCESS_MONITOR][INFO]tritonserver(105329), Memory: 973 MiB, GPU Memory: 529 MiB
[2022-09-16 18:36:26,899][PROCESS_MONITOR][INFO]tritonserver(105329), Memory: 973 MiB, GPU Memory: 529 MiB
[2022-09-16 18:36:27,915][PROCESS_MONITOR][INFO]tritonserver(105329), Memory: 973 MiB, GPU Memory: 529 MiB
[2022-09-16 18:36:28,930][PROCESS_MONITOR][INFO]tritonserver(105329), Memory: 973 MiB, GPU Memory: 529 MiB
[2022-09-16 18:36:29,947][PROCESS_MONITOR][INFO]tritonserver(105329), Memory: 973 MiB, GPU Memory: 529 MiB
[2022-09-16 18:36:30,963][PROCESS_MONITOR][INFO]tritonserver(105329), Memory: 973 MiB, GPU Memory: 529 MiB
[2022-09-16 18:36:31,978][PROCESS_MONITOR][INFO]tritonserver(105329), Memory: 973 MiB, GPU Memory: 529 MiB
[2022-09-16 18:36:32,993][PROCESS_MONITOR][INFO]tritonserver(105329), Memory: 973 MiB, GPU Memory: 529 MiB
[2022-09-16 18:36:34,009][PROCESS_MONITOR][INFO]tritonserver(105329), Memory: 973 MiB, GPU Memory: 529 MiB
[2022-09-16 18:36:35,024][PROCESS_MONITOR][INFO]tritonserver(105329), Memory: 973 MiB, GPU Memory: 529 MiB
[2022-09-16 18:36:36,040][PROCESS_MONITOR][INFO]tritonserver(105329), Memory: 973 MiB, GPU Memory: 529 MiB
[2022-09-16 18:36:37,056][PROCESS_MONITOR][INFO]tritonserver(105329), Memory: 973 MiB, GPU Memory: 529 MiB
