[2022-09-16 18:31:02,252][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 974 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:03,267][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 974 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:04,280][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 974 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:05,295][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 974 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:06,310][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 974 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:07,325][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 974 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:08,340][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 974 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:09,354][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 974 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:10,371][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 974 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:11,385][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 974 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:12,401][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 974 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:13,418][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 974 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:14,435][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 974 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:15,450][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 974 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:16,464][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 974 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:17,479][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 974 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:18,495][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 974 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:19,511][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 974 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:20,527][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 974 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:21,543][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 974 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:22,558][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 974 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:23,575][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 974 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:24,588][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 974 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:25,601][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 975 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:26,615][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 975 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:27,631][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 975 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:28,646][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 975 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:29,661][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 975 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:30,676][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 975 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:31,690][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 975 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:32,704][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 975 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:33,719][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 975 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:34,734][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 975 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:35,749][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 975 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:36,763][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 975 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:37,778][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 975 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:38,793][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 975 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:39,809][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 975 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:40,824][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 975 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:41,839][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 975 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:42,854][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 975 MiB, GPU Memory: 529 MiB
[2022-09-16 18:31:43,869][PROCESS_MONITOR][INFO]tritonserver(102440), Memory: 975 MiB, GPU Memory: 529 MiB
