[2022-09-16 18:40:39,077][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 969 MiB, GPU Memory: 555 MiB
[2022-09-16 18:40:40,092][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 969 MiB, GPU Memory: 555 MiB
[2022-09-16 18:40:41,106][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 969 MiB, GPU Memory: 555 MiB
[2022-09-16 18:40:42,122][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 969 MiB, GPU Memory: 555 MiB
[2022-09-16 18:40:43,137][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 969 MiB, GPU Memory: 555 MiB
[2022-09-16 18:40:44,153][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 969 MiB, GPU Memory: 555 MiB
[2022-09-16 18:40:45,176][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 969 MiB, GPU Memory: 555 MiB
[2022-09-16 18:40:46,191][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 969 MiB, GPU Memory: 555 MiB
[2022-09-16 18:40:47,206][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 969 MiB, GPU Memory: 555 MiB
[2022-09-16 18:40:48,220][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 969 MiB, GPU Memory: 555 MiB
[2022-09-16 18:40:49,237][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 969 MiB, GPU Memory: 555 MiB
[2022-09-16 18:40:50,253][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 969 MiB, GPU Memory: 555 MiB
[2022-09-16 18:40:51,268][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 969 MiB, GPU Memory: 555 MiB
[2022-09-16 18:40:52,285][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 969 MiB, GPU Memory: 555 MiB
[2022-09-16 18:40:53,301][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 969 MiB, GPU Memory: 555 MiB
[2022-09-16 18:40:54,315][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 969 MiB, GPU Memory: 555 MiB
[2022-09-16 18:40:55,331][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 969 MiB, GPU Memory: 555 MiB
[2022-09-16 18:40:56,347][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 969 MiB, GPU Memory: 555 MiB
[2022-09-16 18:40:57,361][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 969 MiB, GPU Memory: 555 MiB
[2022-09-16 18:40:58,373][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 985 MiB, GPU Memory: 555 MiB
[2022-09-16 18:40:59,391][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 987 MiB, GPU Memory: 555 MiB
[2022-09-16 18:41:00,405][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 988 MiB, GPU Memory: 555 MiB
[2022-09-16 18:41:01,421][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 988 MiB, GPU Memory: 555 MiB
[2022-09-16 18:41:02,436][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 988 MiB, GPU Memory: 555 MiB
[2022-09-16 18:41:03,451][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 988 MiB, GPU Memory: 555 MiB
[2022-09-16 18:41:04,465][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 988 MiB, GPU Memory: 555 MiB
[2022-09-16 18:41:05,480][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 988 MiB, GPU Memory: 555 MiB
[2022-09-16 18:41:06,495][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 989 MiB, GPU Memory: 555 MiB
[2022-09-16 18:41:07,510][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 989 MiB, GPU Memory: 555 MiB
[2022-09-16 18:41:08,525][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 989 MiB, GPU Memory: 555 MiB
[2022-09-16 18:41:09,540][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 990 MiB, GPU Memory: 555 MiB
[2022-09-16 18:41:10,556][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 990 MiB, GPU Memory: 555 MiB
[2022-09-16 18:41:11,571][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 990 MiB, GPU Memory: 555 MiB
[2022-09-16 18:41:12,587][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 990 MiB, GPU Memory: 555 MiB
[2022-09-16 18:41:13,601][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 990 MiB, GPU Memory: 555 MiB
[2022-09-16 18:41:14,617][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 990 MiB, GPU Memory: 555 MiB
[2022-09-16 18:41:15,632][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 990 MiB, GPU Memory: 555 MiB
[2022-09-16 18:41:16,646][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 990 MiB, GPU Memory: 555 MiB
[2022-09-16 18:41:17,661][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 990 MiB, GPU Memory: 555 MiB
[2022-09-16 18:41:18,676][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 990 MiB, GPU Memory: 555 MiB
[2022-09-16 18:41:19,692][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 990 MiB, GPU Memory: 555 MiB
[2022-09-16 18:41:20,707][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 990 MiB, GPU Memory: 555 MiB
[2022-09-16 18:41:21,722][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 990 MiB, GPU Memory: 555 MiB
[2022-09-16 18:41:22,740][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 990 MiB, GPU Memory: 555 MiB
[2022-09-16 18:41:23,755][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 991 MiB, GPU Memory: 555 MiB
[2022-09-16 18:41:24,770][PROCESS_MONITOR][INFO]tritonserver(107750), Memory: 991 MiB, GPU Memory: 555 MiB
