[2022-09-16 18:44:49,967][PROCESS_MONITOR][INFO]tritonserver(110222), Memory: 966 MiB, GPU Memory: 555 MiB
[2022-09-16 18:44:50,980][PROCESS_MONITOR][INFO]tritonserver(110222), Memory: 966 MiB, GPU Memory: 555 MiB
[2022-09-16 18:44:51,996][PROCESS_MONITOR][INFO]tritonserver(110222), Memory: 966 MiB, GPU Memory: 555 MiB
[2022-09-16 18:44:53,011][PROCESS_MONITOR][INFO]tritonserver(110222), Memory: 966 MiB, GPU Memory: 555 MiB
[2022-09-16 18:44:54,026][PROCESS_MONITOR][INFO]tritonserver(110222), Memory: 966 MiB, GPU Memory: 555 MiB
[2022-09-16 18:44:55,041][PROCESS_MONITOR][INFO]tritonserver(110222), Memory: 966 MiB, GPU Memory: 555 MiB
[2022-09-16 18:44:56,057][PROCESS_MONITOR][INFO]tritonserver(110222), Memory: 966 MiB, GPU Memory: 555 MiB
[2022-09-16 18:44:57,071][PROCESS_MONITOR][INFO]tritonserver(110222), Memory: 966 MiB, GPU Memory: 555 MiB
[2022-09-16 18:44:58,086][PROCESS_MONITOR][INFO]tritonserver(110222), Memory: 966 MiB, GPU Memory: 555 MiB
[2022-09-16 18:44:59,101][PROCESS_MONITOR][INFO]tritonserver(110222), Memory: 966 MiB, GPU Memory: 555 MiB
[2022-09-16 18:45:00,117][PROCESS_MONITOR][INFO]tritonserver(110222), Memory: 966 MiB, GPU Memory: 555 MiB
[2022-09-16 18:45:01,132][PROCESS_MONITOR][INFO]tritonserver(110222), Memory: 966 MiB, GPU Memory: 555 MiB
[2022-09-16 18:45:02,146][PROCESS_MONITOR][INFO]tritonserver(110222), Memory: 966 MiB, GPU Memory: 555 MiB
[2022-09-16 18:45:03,160][PROCESS_MONITOR][INFO]tritonserver(110222), Memory: 966 MiB, GPU Memory: 555 MiB
[2022-09-16 18:45:04,175][PROCESS_MONITOR][INFO]tritonserver(110222), Memory: 966 MiB, GPU Memory: 555 MiB
[2022-09-16 18:45:05,191][PROCESS_MONITOR][INFO]tritonserver(110222), Memory: 966 MiB, GPU Memory: 555 MiB
[2022-09-16 18:45:06,205][PROCESS_MONITOR][INFO]tritonserver(110222), Memory: 966 MiB, GPU Memory: 555 MiB
[2022-09-16 18:45:07,219][PROCESS_MONITOR][INFO]tritonserver(110222), Memory: 966 MiB, GPU Memory: 555 MiB
[2022-09-16 18:45:08,234][PROCESS_MONITOR][INFO]tritonserver(110222), Memory: 966 MiB, GPU Memory: 555 MiB
[2022-09-16 18:45:09,249][PROCESS_MONITOR][INFO]tritonserver(110222), Memory: 966 MiB, GPU Memory: 555 MiB
[2022-09-16 18:45:10,265][PROCESS_MONITOR][INFO]tritonserver(110222), Memory: 966 MiB, GPU Memory: 555 MiB
[2022-09-16 18:45:11,281][PROCESS_MONITOR][INFO]tritonserver(110222), Memory: 966 MiB, GPU Memory: 555 MiB
[2022-09-16 18:45:12,297][PROCESS_MONITOR][INFO]tritonserver(110222), Memory: 966 MiB, GPU Memory: 555 MiB
[2022-09-16 18:45:13,310][PROCESS_MONITOR][INFO]tritonserver(110222), Memory: 966 MiB, GPU Memory: 555 MiB
[2022-09-16 18:45:14,329][PROCESS_MONITOR][INFO]tritonserver(110222), Memory: 966 MiB, GPU Memory: 555 MiB
[2022-09-16 18:45:15,345][PROCESS_MONITOR][INFO]tritonserver(110222), Memory: 966 MiB, GPU Memory: 555 MiB
[2022-09-16 18:45:16,361][PROCESS_MONITOR][INFO]tritonserver(110222), Memory: 966 MiB, GPU Memory: 555 MiB
[2022-09-16 18:45:17,377][PROCESS_MONITOR][INFO]tritonserver(110222), Memory: 966 MiB, GPU Memory: 555 MiB
