[2022-09-16 19:04:12,550][PROCESS_MONITOR][INFO]tritonserver(117550), Memory: 998 MiB, GPU Memory: 529 MiB
[2022-09-16 19:04:13,565][PROCESS_MONITOR][INFO]tritonserver(117550), Memory: 998 MiB, GPU Memory: 529 MiB
[2022-09-16 19:04:14,581][PROCESS_MONITOR][INFO]tritonserver(117550), Memory: 998 MiB, GPU Memory: 529 MiB
[2022-09-16 19:04:15,597][PROCESS_MONITOR][INFO]tritonserver(117550), Memory: 998 MiB, GPU Memory: 529 MiB
[2022-09-16 19:04:16,612][PROCESS_MONITOR][INFO]tritonserver(117550), Memory: 998 MiB, GPU Memory: 529 MiB
[2022-09-16 19:04:17,629][PROCESS_MONITOR][INFO]tritonserver(117550), Memory: 998 MiB, GPU Memory: 529 MiB
[2022-09-16 19:04:18,645][PROCESS_MONITOR][INFO]tritonserver(117550), Memory: 998 MiB, GPU Memory: 529 MiB
[2022-09-16 19:04:19,659][PROCESS_MONITOR][INFO]tritonserver(117550), Memory: 998 MiB, GPU Memory: 529 MiB
[2022-09-16 19:04:20,673][PROCESS_MONITOR][INFO]tritonserver(117550), Memory: 998 MiB, GPU Memory: 529 MiB
[2022-09-16 19:04:21,688][PROCESS_MONITOR][INFO]tritonserver(117550), Memory: 998 MiB, GPU Memory: 529 MiB
[2022-09-16 19:04:22,704][PROCESS_MONITOR][INFO]tritonserver(117550), Memory: 998 MiB, GPU Memory: 529 MiB
[2022-09-16 19:04:23,717][PROCESS_MONITOR][INFO]tritonserver(117550), Memory: 998 MiB, GPU Memory: 529 MiB
[2022-09-16 19:04:24,733][PROCESS_MONITOR][INFO]tritonserver(117550), Memory: 998 MiB, GPU Memory: 529 MiB
[2022-09-16 19:04:25,749][PROCESS_MONITOR][INFO]tritonserver(117550), Memory: 998 MiB, GPU Memory: 529 MiB
[2022-09-16 19:04:26,764][PROCESS_MONITOR][INFO]tritonserver(117550), Memory: 998 MiB, GPU Memory: 529 MiB
[2022-09-16 19:04:27,781][PROCESS_MONITOR][INFO]tritonserver(117550), Memory: 998 MiB, GPU Memory: 529 MiB
[2022-09-16 19:04:28,797][PROCESS_MONITOR][INFO]tritonserver(117550), Memory: 998 MiB, GPU Memory: 529 MiB
[2022-09-16 19:04:29,813][PROCESS_MONITOR][INFO]tritonserver(117550), Memory: 998 MiB, GPU Memory: 529 MiB
[2022-09-16 19:04:30,830][PROCESS_MONITOR][INFO]tritonserver(117550), Memory: 998 MiB, GPU Memory: 529 MiB
[2022-09-16 19:04:31,846][PROCESS_MONITOR][INFO]tritonserver(117550), Memory: 998 MiB, GPU Memory: 529 MiB
[2022-09-16 19:04:32,863][PROCESS_MONITOR][INFO]tritonserver(117550), Memory: 998 MiB, GPU Memory: 529 MiB
[2022-09-16 19:04:33,877][PROCESS_MONITOR][INFO]tritonserver(117550), Memory: 998 MiB, GPU Memory: 529 MiB
[2022-09-16 19:04:34,893][PROCESS_MONITOR][INFO]tritonserver(117550), Memory: 998 MiB, GPU Memory: 529 MiB
[2022-09-16 19:04:35,908][PROCESS_MONITOR][INFO]tritonserver(117550), Memory: 998 MiB, GPU Memory: 529 MiB
[2022-09-16 19:04:36,923][PROCESS_MONITOR][INFO]tritonserver(117550), Memory: 998 MiB, GPU Memory: 529 MiB
[2022-09-16 19:04:37,935][PROCESS_MONITOR][INFO]tritonserver(117550), Memory: 1011 MiB, GPU Memory: 529 MiB
[2022-09-16 19:04:38,949][PROCESS_MONITOR][INFO]tritonserver(117550), Memory: 1014 MiB, GPU Memory: 529 MiB
[2022-09-16 19:04:39,964][PROCESS_MONITOR][INFO]tritonserver(117550), Memory: 1015 MiB, GPU Memory: 529 MiB
[2022-09-16 19:04:40,979][PROCESS_MONITOR][INFO]tritonserver(117550), Memory: 1015 MiB, GPU Memory: 529 MiB
