[2022-09-16 18:49:59,154][PROCESS_MONITOR][INFO]tritonserver(112878), Memory: 996 MiB, GPU Memory: 529 MiB
[2022-09-16 18:50:00,169][PROCESS_MONITOR][INFO]tritonserver(112878), Memory: 996 MiB, GPU Memory: 529 MiB
[2022-09-16 18:50:01,183][PROCESS_MONITOR][INFO]tritonserver(112878), Memory: 996 MiB, GPU Memory: 529 MiB
[2022-09-16 18:50:02,198][PROCESS_MONITOR][INFO]tritonserver(112878), Memory: 996 MiB, GPU Memory: 529 MiB
[2022-09-16 18:50:03,213][PROCESS_MONITOR][INFO]tritonserver(112878), Memory: 996 MiB, GPU Memory: 529 MiB
[2022-09-16 18:50:04,228][PROCESS_MONITOR][INFO]tritonserver(112878), Memory: 996 MiB, GPU Memory: 529 MiB
[2022-09-16 18:50:05,244][PROCESS_MONITOR][INFO]tritonserver(112878), Memory: 996 MiB, GPU Memory: 529 MiB
[2022-09-16 18:50:06,261][PROCESS_MONITOR][INFO]tritonserver(112878), Memory: 996 MiB, GPU Memory: 529 MiB
[2022-09-16 18:50:07,276][PROCESS_MONITOR][INFO]tritonserver(112878), Memory: 996 MiB, GPU Memory: 529 MiB
[2022-09-16 18:50:08,290][PROCESS_MONITOR][INFO]tritonserver(112878), Memory: 996 MiB, GPU Memory: 529 MiB
[2022-09-16 18:50:09,306][PROCESS_MONITOR][INFO]tritonserver(112878), Memory: 996 MiB, GPU Memory: 529 MiB
[2022-09-16 18:50:10,321][PROCESS_MONITOR][INFO]tritonserver(112878), Memory: 996 MiB, GPU Memory: 529 MiB
[2022-09-16 18:50:11,336][PROCESS_MONITOR][INFO]tritonserver(112878), Memory: 996 MiB, GPU Memory: 529 MiB
[2022-09-16 18:50:12,350][PROCESS_MONITOR][INFO]tritonserver(112878), Memory: 996 MiB, GPU Memory: 529 MiB
[2022-09-16 18:50:13,367][PROCESS_MONITOR][INFO]tritonserver(112878), Memory: 996 MiB, GPU Memory: 529 MiB
[2022-09-16 18:50:14,383][PROCESS_MONITOR][INFO]tritonserver(112878), Memory: 996 MiB, GPU Memory: 529 MiB
[2022-09-16 18:50:15,398][PROCESS_MONITOR][INFO]tritonserver(112878), Memory: 996 MiB, GPU Memory: 529 MiB
[2022-09-16 18:50:16,412][PROCESS_MONITOR][INFO]tritonserver(112878), Memory: 996 MiB, GPU Memory: 529 MiB
[2022-09-16 18:50:17,424][PROCESS_MONITOR][INFO]tritonserver(112878), Memory: 996 MiB, GPU Memory: 529 MiB
[2022-09-16 18:50:18,439][PROCESS_MONITOR][INFO]tritonserver(112878), Memory: 996 MiB, GPU Memory: 529 MiB
[2022-09-16 18:50:19,453][PROCESS_MONITOR][INFO]tritonserver(112878), Memory: 996 MiB, GPU Memory: 529 MiB
[2022-09-16 18:50:20,467][PROCESS_MONITOR][INFO]tritonserver(112878), Memory: 996 MiB, GPU Memory: 529 MiB
[2022-09-16 18:50:21,483][PROCESS_MONITOR][INFO]tritonserver(112878), Memory: 996 MiB, GPU Memory: 529 MiB
